episode, reward, n_steps, epsilon, success_count, memory length
1, -529.8180868974887, 500, 1.0, 0, 499
2, -110.30661035329103, 500, 0.99, 0, 998
3, -234.6173845026642, 500, 0.9801, 0, 1497
4, -298.8168011456728, 500, 0.9702989999999999, 0, 1996
5, -211.73468942195177, 500, 0.96059601, 0, 2495
6, -714.0326263010502, 500, 0.9509900498999999, 0, 2994
7, -453.7128923535347, 500, 0.9414801494009999, 0, 3493
8, -515.9967616200447, 500, 0.9320653479069899, 0, 3992
9, -1.8470958471298218, 14, 0.92274469442792, 0, 4005
10, -82.47093893960118, 87, 0.9135172474836407, 0, 4091
