episode, reward, success, duration, n_steps, success_count, memory length, avg_critic_loss, avg_actor_loss
1, 986.6938195228577, True, 0.05074644088745117, 3, 0, 2, 0.0, 0.0
2, -1680.513061285019, False, 1.5673246383666992, 497, 0, 498, 0.0, 0.0
3, -1111.2433877587318, False, 29.5105402469635, 497, 0, 994, 1.6886076927185059, 1522.074951171875
4, -1422.262143427506, False, 23.52075719833374, 369, 0, 1362, 0.8518334627151489, 1465.0936279296875
5, -1467.0593756008893, False, 23.63175868988037, 432, 0, 1793, 1.0264309644699097, 1585.4112548828125
6, -1324.4940775949508, False, 24.25242781639099, 319, 0, 2111, 1.2921524047851562, 1730.7940673828125
7, -1342.8172933650203, False, 26.73117184638977, 323, 0, 2433, 1.4766665697097778, 1853.785400390625
8, -1384.856864027679, False, 24.083322763442993, 329, 0, 2761, 1.5317966938018799, 2165.290771484375
9, -881.5271256105043, False, 48.161505699157715, 497, 0, 3257, 1.8523567914962769, 2433.599365234375
10, -1327.16671286989, False, 25.228082180023193, 311, 0, 3567, 1.4510148763656616, 2544.290283203125
11, -854.1744753178209, False, 40.36626434326172, 497, 0, 4063, 1.445195198059082, 2770.659423828125
12, -1315.5187004487962, False, 24.55353021621704, 316, 0, 4378, 1.29950749874115, 2916.8173828125
13, -1306.300449008122, False, 24.88566827774048, 254, 0, 4631, 1.3772512674331665, 3047.9365234375
14, -829.465067582787, False, 59.783841371536255, 497, 0, 5127, 1.4047551155090332, 3222.197265625
15, -1306.7875797767192, False, 25.082329034805298, 295, 0, 5421, 1.2812819480895996, 3401.871337890625
16, -1346.6744323479943, False, 26.90477752685547, 318, 0, 5738, 1.326769232749939, 3487.803955078125
17, -914.1800999259576, False, 51.85379433631897, 497, 0, 6234, 1.3764852285385132, 3666.569580078125
18, -1392.4063092693686, False, 26.459040880203247, 312, 0, 6545, 1.3974627256393433, 3854.546142578125
19, -1486.6267047673464, False, 22.878488540649414, 417, 0, 6961, 1.2083288431167603, 3992.666015625
20, -1357.0639179116115, False, 23.590869665145874, 306, 0, 7266, 1.3742643594741821, 4094.744384765625
21, -1198.5973247853108, False, 25.735018253326416, 267, 0, 7532, 1.4944435358047485, 4191.99462890625
22, -1461.9449638891965, False, 23.251047611236572, 389, 0, 7920, 1.4713356494903564, 4272.72900390625
23, -1442.2461744174361, False, 23.783912897109985, 350, 0, 8269, 1.558363437652588, 4387.94384765625
24, -949.3105528913438, False, 39.967260122299194, 497, 0, 8765, 1.530065894126892, 4564.25537109375
25, -1268.655796828345, False, 23.90706753730774, 307, 0, 9071, 1.3825335502624512, 4635.947265625
26, -1227.3909834544174, False, 27.066420078277588, 247, 0, 9317, 1.5515787601470947, 4679.486328125
27, -1297.9428115827031, False, 27.93264412879944, 286, 0, 9602, 1.5033552646636963, 4815.80078125
28, -892.2776793967641, False, 52.58845663070679, 497, 0, 10098, 1.519244909286499, 4959.2421875
29, -1217.267822606489, False, 24.941105842590332, 256, 0, 10353, 1.5652998685836792, 5047.2841796875
30, -1244.8972339965403, False, 25.94129204750061, 274, 0, 10626, 1.4942893981933594, 5086.00048828125
31, -1235.86394219473, False, 26.705045700073242, 228, 0, 10853, 1.4147237539291382, 5115.85791015625
32, -862.4716313576791, False, 58.315937519073486, 497, 0, 11349, 1.5548824071884155, 5246.60546875
33, -1294.519818276167, False, 27.524470329284668, 268, 0, 11616, 1.6469687223434448, 5360.8984375
34, -795.8330249101855, False, 53.15842247009277, 497, 0, 12112, 1.6383389234542847, 5440.404296875
35, -911.6674520112574, False, 55.582480669021606, 497, 0, 12608, 1.4993693828582764, 5548.74072265625
36, -1285.082903733477, False, 25.320362329483032, 308, 0, 12915, 1.380438208580017, 5619.03369140625
37, -1252.2072603404522, False, 26.93934655189514, 274, 0, 13188, 1.6202828884124756, 5707.08935546875
38, -711.3956899920013, False, 51.29042339324951, 497, 0, 13684, 1.5056968927383423, 5754.66455078125
39, -863.2209919234738, False, 50.37208890914917, 497, 0, 14180, 1.4305312633514404, 5835.681640625
40, -827.9051235769875, False, 48.51127815246582, 497, 0, 14676, 1.3998301029205322, 5902.7958984375
41, -1356.8515281155705, False, 26.468525409698486, 293, 0, 14968, 1.3606282472610474, 5954.6923828125
42, -1290.4718397734687, False, 27.733936309814453, 299, 0, 15266, 1.3945026397705078, 6007.40283203125
43, -1329.8800554573536, False, 26.626796007156372, 316, 0, 15581, 1.4316291809082031, 6060.7646484375
44, -1514.700613424182, False, 23.254653692245483, 381, 0, 15961, 1.475663661956787, 6123.923828125
45, -1531.7874138653278, False, 22.300331354141235, 467, 0, 16427, 1.4344698190689087, 6169.92919921875
46, -1562.0862710028887, False, 22.142691373825073, 458, 0, 16884, 1.617494821548462, 6220.4111328125
47, -1581.9925441145897, False, 21.826337337493896, 432, 0, 17315, 1.4318331480026245, 6289.55712890625
48, -1532.0675412118435, False, 22.508967399597168, 471, 0, 17785, 1.4078781604766846, 6319.287109375
49, -1498.6784138530493, False, 22.03815007209778, 459, 0, 18243, 1.5370748043060303, 6349.0107421875
50, -1587.4195512235165, False, 22.613120317459106, 471, 0, 18713, 1.5327719449996948, 6413.248046875
51, -782.7565659433603, False, 24.492882251739502, 497, 0, 19209, 1.5478456020355225, 6447.25537109375
52, -1580.8532547056675, False, 22.203462600708008, 458, 0, 19666, 1.3620481491088867, 6497.1640625
53, -868.0731439292431, False, 24.073203086853027, 497, 0, 20162, 1.4669777154922485, 6527.544921875
