episode, reward, success, duration, n_steps, memory length, avg_critic_loss, avg_actor_loss
1, 2479.833948135376, 1, 0.029979705810546875, 4, 2, 0.0, 0.0
2, -4077.9499875307083, 2, 16.794930696487427, 530, 530, 7.017889022827148, 250.63812255859375
3, -4309.611810684204, 2, 12.590481042861938, 484, 1012, 6.255514144897461, 428.3935241699219
4, -3392.712527036667, 2, 7.920745849609375, 292, 1302, 5.269473552703857, 538.88623046875
5, -3328.5859813690186, 2, 5.928977966308594, 228, 1528, 6.424259662628174, 581.7744750976562
6, -5487.170350790024, 2, 14.874213933944702, 551, 2077, 5.947065830230713, 636.6879272460938
7, -5377.196759939194, 2, 17.609182119369507, 647, 2722, 5.835210800170898, 783.51513671875
8, -3328.6869039535522, 2, 7.262544631958008, 279, 2999, 5.4859161376953125, 854.650634765625
9, -4575.251667261124, 2, 13.473280191421509, 504, 3501, 4.721303462982178, 892.5309448242188
10, -3631.698726117611, 2, 13.249572038650513, 487, 3986, 5.077081203460693, 933.3097534179688
11, -3566.403975009918, 2, 12.714524269104004, 439, 4423, 4.969876766204834, 976.9532470703125
12, -4260.6819360256195, 2, 13.690078973770142, 509, 4930, 5.916241645812988, 1028.3428955078125
13, -3265.2276632785797, 2, 6.0321080684661865, 227, 5155, 5.60233211517334, 1069.930419921875
14, -2903.15454518795, 2, 5.5706117153167725, 208, 5361, 6.1205339431762695, 1091.06884765625
15, -7374.532783031464, 2, 18.430015563964844, 663, 6022, 4.887953758239746, 1162.7265625
16, -3689.099733233452, 2, 12.415576696395874, 466, 6486, 6.171287536621094, 1264.9893798828125
17, -2897.0462653636932, 2, 5.512741804122925, 207, 6691, 4.750624656677246, 1293.647705078125
18, -2966.864822626114, 2, 5.160812616348267, 194, 6883, 6.458191394805908, 1317.71630859375
19, 2163.527950525284, 1, 4.827441453933716, 185, 7066, 6.093801021575928, 1317.14794921875
20, -3833.4428243637085, 2, 5.836600303649902, 216, 7280, 4.679708480834961, 1339.479736328125
21, -3315.888944864273, 2, 7.549275875091553, 279, 7557, 5.909817218780518, 1376.351318359375
22, -3110.295642852783, 2, 6.771353244781494, 251, 7806, 5.603985786437988, 1412.9071044921875
23, -4445.047071933746, 2, 12.909210443496704, 476, 8280, 6.025931358337402, 1483.727294921875
24, -3434.718990802765, 2, 8.062824010848999, 298, 8576, 6.073637008666992, 1538.5428466796875
25, -5155.405022382736, 2, 11.429805755615234, 418, 8992, 6.480507850646973, 1586.1981201171875
26, -3189.432183265686, 2, 5.41501259803772, 201, 9191, 7.063933849334717, 1631.4368896484375
27, -4402.476209163666, 2, 12.990175247192383, 472, 9661, 5.98760986328125, 1689.0809326171875
28, -3580.3043749928474, 2, 11.733506202697754, 427, 10086, 6.2195634841918945, 1760.2200927734375
29, -4874.7030346393585, 2, 9.130001544952393, 325, 10409, 6.005343914031982, 1814.8779296875
30, -4747.176975488663, 2, 14.449912071228027, 450, 10857, 6.879222393035889, 1887.4056396484375
31, -5273.894100904465, 2, 19.690244674682617, 824, 11679, 6.676785469055176, 1975.690185546875
32, -4600.4129638671875, 2, 13.270208358764648, 581, 12258, 5.45971155166626, 2062.072509765625
33, -3889.0473260879517, 2, 8.689085006713867, 383, 12639, 5.35515022277832, 2143.688720703125
34, -3078.2283928394318, 2, 5.959280252456665, 261, 12898, 5.660201549530029, 2171.01806640625
35, -4850.460570335388, 2, 10.757463216781616, 460, 13356, 5.5167012214660645, 2229.907958984375
36, -3730.8516137599945, 2, 5.809937477111816, 257, 13611, 6.346818447113037, 2270.88232421875
37, -3640.9716036319733, 2, 7.719521760940552, 340, 13949, 5.9827656745910645, 2320.4482421875
38, -4003.493176460266, 2, 8.332087993621826, 364, 14311, 6.178050994873047, 2352.39208984375
39, -5537.332893371582, 2, 19.281121015548706, 815, 15124, 5.543955326080322, 2427.340087890625
40, -4035.098440885544, 2, 6.3675537109375, 278, 15400, 6.053076267242432, 2467.3046875
41, -4199.8670954704285, 2, 12.75856876373291, 550, 15948, 5.580325126647949, 2558.08837890625
42, -3419.5946345329285, 2, 7.057304620742798, 311, 16257, 5.55303955078125, 2608.881591796875
43, -3467.0307941436768, 2, 7.829789638519287, 329, 16584, 5.105679035186768, 2635.894775390625
44, -5576.907866239548, 2, 8.624877452850342, 358, 16940, 6.018276214599609, 2693.21044921875
45, -3003.883401632309, 2, 5.333462953567505, 236, 17174, 5.620400428771973, 2728.626708984375
46, -5916.560603380203, 2, 17.50523066520691, 741, 17913, 5.875192642211914, 2857.594482421875
47, -3905.1331886053085, 2, 12.29754114151001, 532, 18443, 5.843170166015625, 2972.825439453125
48, -3793.591348171234, 2, 7.621561288833618, 336, 18777, 6.031008243560791, 3023.941650390625
49, -3724.6146669387817, 2, 7.4930503368377686, 323, 19098, 6.165994167327881, 3076.861572265625
50, -3525.465511441231, 2, 7.144305944442749, 309, 19405, 5.720956802368164, 3095.5205078125
51, -3480.096163034439, 2, 5.376199960708618, 238, 19641, 6.263701915740967, 3146.39892578125
52, -4346.965308666229, 2, 8.998466491699219, 392, 20031, 6.24222993850708, 3200.047119140625
53, -3984.0776414871216, 2, 10.502713441848755, 460, 20489, 5.95831298828125, 3273.2578125
54, -3587.091638326645, 2, 6.056786298751831, 264, 20751, 5.989246845245361, 3333.70703125
55, -3736.9690940380096, 2, 7.521223306655884, 331, 21080, 5.89721155166626, 3360.27880859375
56, -4381.285973787308, 2, 9.04750394821167, 398, 21476, 5.272253513336182, 3465.72607421875
57, -3491.915787220001, 2, 7.805385112762451, 339, 21813, 5.6468000411987305, 3528.1728515625
58, -3418.8691647052765, 2, 6.058406352996826, 271, 22082, 5.765411853790283, 3557.774658203125
59, -3817.1177093982697, 2, 7.515567064285278, 333, 22413, 6.387665271759033, 3582.798828125
60, -4268.572910785675, 2, 8.338701963424683, 370, 22781, 5.858133316040039, 3666.3330078125
61, -3518.8953952789307, 2, 7.169711351394653, 302, 23081, 6.178367614746094, 3678.33349609375
62, -3574.815178155899, 2, 6.274448871612549, 280, 23359, 5.6873459815979, 3693.95361328125
63, -2928.215295791626, 3, 8.764605283737183, 388, 23745, 6.740719318389893, 3789.369140625
64, -4620.565501332283, 2, 13.395422220230103, 579, 24322, 5.667375087738037, 3848.878662109375
65, -3847.7399759292603, 2, 7.7481231689453125, 323, 24643, 6.608000755310059, 3901.51904296875
66, -7584.947314381599, 2, 11.407400608062744, 498, 25139, 6.46396541595459, 3994.5322265625
67, -4212.454832077026, 2, 12.031343936920166, 509, 25646, 6.831141948699951, 4107.12255859375
68, -3332.7901614904404, 2, 7.505260229110718, 333, 25977, 6.20011043548584, 4175.02880859375
69, -11785.495822906494, 2, 18.117321491241455, 780, 26755, 6.39626407623291, 4295.55517578125
70, -3393.26877117157, 2, 7.282393455505371, 323, 27076, 5.097066879272461, 4388.7353515625
71, -4391.185778617859, 2, 12.236497640609741, 536, 27610, 5.520226001739502, 4434.859375
