episode, reward, success, duration, n_steps, memory length, avg_critic_loss, avg_actor_loss
1, -9574.82936346531, 2, 34.260409116744995, 519, 517, 0.35454124212265015, 296.79351806640625
2, -7820.168545246124, 2, 12.476497650146484, 161, 676, 15.2721529006958, 564.3622436523438
3, -7761.725393533707, 2, 12.8618004322052, 166, 840, 18.244638442993164, 610.8572387695312
4, -8420.968606233597, 2, 20.084038496017456, 242, 1080, 23.620887756347656, 701.03759765625
5, -7724.513060212135, 2, 7.486691951751709, 143, 1221, 22.89410972595215, 808.468505859375
6, -7983.287042617798, 2, 8.388497829437256, 191, 1410, 26.086833953857422, 871.5122680664062
7, -7648.745506763458, 2, 5.60028600692749, 131, 1539, 32.33893585205078, 956.6032104492188
8, -7624.765761733055, 2, 6.038440942764282, 146, 1683, 24.234830856323242, 983.8235473632812
9, -8242.467711925507, 2, 7.942896366119385, 208, 1889, 39.296634674072266, 1060.30029296875
10, -8193.760839700699, 2, 18.81576895713806, 413, 2300, 28.636934280395508, 1174.3223876953125
11, -7590.417105615139, 2, 6.2978761196136475, 143, 2441, 24.220455169677734, 1240.1605224609375
12, -9474.552929997444, 2, 23.017070293426514, 597, 3036, 28.771081924438477, 1409.3245849609375
13, -9013.022820591927, 2, 21.946581602096558, 589, 3623, 26.10325813293457, 1637.60791015625
14, -2447.1620138287544, 4, 42.02271866798401, 998, 4619, 22.45667839050293, 1921.31201171875
15, -3024.2778767347336, 4, 40.48093581199646, 998, 5615, 18.251392364501953, 2187.875732421875
16, -2769.2535670995712, 4, 42.668133020401, 998, 6611, 15.132214546203613, 2501.98486328125
17, -7586.642269492149, 2, 6.293361186981201, 151, 6760, 12.866713523864746, 2604.7216796875
18, -8951.42810869217, 2, 14.267532110214233, 342, 7100, 13.812973976135254, 2705.845458984375
19, -7787.761717796326, 3, 10.241172552108765, 229, 7327, 12.753661155700684, 2837.09326171875
20, -9427.104432106018, 2, 11.09588074684143, 317, 7642, 15.428080558776855, 2930.72998046875
21, -8711.707140922546, 2, 14.932587623596191, 351, 7991, 14.048272132873535, 3062.1865234375
22, -8892.353271245956, 2, 10.292288064956665, 256, 8245, 15.201878547668457, 3156.4169921875
23, -7901.005420446396, 2, 8.142236709594727, 199, 8442, 17.45600128173828, 3269.633544921875
24, -3189.5940631628036, 4, 25.24913239479065, 998, 9438, 16.327747344970703, 3495.68798828125
25, 7790.5683980584145, 1, 4.162736654281616, 180, 9616, 12.776947975158691, 3660.743408203125
26, -3448.876019001007, 4, 24.64836359024048, 998, 10612, 16.384929656982422, 3882.54541015625
27, -9757.47498846054, 2, 7.142200946807861, 300, 10910, 13.974298477172852, 4049.5888671875
