episode, reward, success, duration, n_steps, success_count, memory length, avg_critic_loss, avg_actor_loss
1, 487.6341607570648, True, 0.011004209518432617, 3, 0, 2, 0.0, 0.0
2, -1774.3883862495422, False, 10.879819393157959, 497, 0, 498, 1.611133098602295, 341.744873046875
3, -1014.5814727544785, False, 13.581954002380371, 497, 0, 994, 0.7465157508850098, 561.3734741210938
4, -1168.9283239841461, False, 9.668819427490234, 351, 0, 1344, 0.5204299688339233, 646.1778564453125
5, -1448.2091588974, False, 11.94717025756836, 490, 0, 1833, 0.7828249931335449, 695.975341796875
6, -671.8963537812233, False, 10.999437808990479, 497, 0, 2329, 0.7536042928695679, 724.6815795898438
7, -683.1164311170578, False, 11.11868166923523, 497, 0, 2825, 0.6481040716171265, 760.2971801757812
8, -635.7461603283882, False, 10.999012231826782, 497, 0, 3321, 0.5266533493995667, 793.0948486328125
9, -877.99196600914, False, 10.999314308166504, 497, 0, 3817, 0.5092216730117798, 842.6346435546875
10, -966.6912808120251, False, 8.70982027053833, 365, 0, 4181, 0.34993958473205566, 879.9036254882812
11, -1420.487314939499, False, 12.879722833633423, 450, 0, 4630, 0.4099235236644745, 927.20849609375
12, -1082.8944483995438, False, 11.780563592910767, 386, 0, 5015, 0.46960872411727905, 989.1495971679688
13, -990.4917792081833, False, 13.942263126373291, 497, 0, 5511, 0.7352313995361328, 1053.9390869140625
14, 256.1404715180397, True, 7.903321266174316, 257, 0, 5767, 0.5769263505935669, 1093.5462646484375
15, -1128.7410581111908, False, 11.008524179458618, 364, 0, 6130, 0.6635394096374512, 1110.2108154296875
16, -1184.8680611848831, False, 14.760836601257324, 485, 0, 6614, 0.5947239995002747, 1135.9228515625
17, -906.0824505090714, False, 13.927213668823242, 497, 0, 7110, 0.7066971063613892, 1186.1207275390625
18, -732.8993219137192, False, 14.891764879226685, 497, 0, 7606, 0.7141249775886536, 1236.8734130859375
19, -908.400810956955, False, 9.815217733383179, 318, 0, 7923, 0.5716941356658936, 1257.8338623046875
20, -823.2255457639694, False, 14.932885646820068, 497, 0, 8419, 0.6736082434654236, 1278.81494140625
21, -1005.5917301177979, False, 15.044163942337036, 497, 0, 8915, 0.655008852481842, 1330.856689453125
22, -762.950452208519, False, 15.405348300933838, 497, 0, 9411, 0.4548012912273407, 1375.0224609375
23, -985.6780427694321, False, 14.073310136795044, 497, 0, 9907, 0.5906012654304504, 1413.0482177734375
24, -1092.3987061977386, False, 11.826122522354126, 380, 0, 10286, 0.526218831539154, 1455.318603515625
25, -1093.8032726049423, False, 9.635979413986206, 307, 0, 10592, 0.5603215098381042, 1477.2611083984375
26, -907.5653468370438, False, 14.308467626571655, 497, 0, 11088, 0.4673120379447937, 1512.1783447265625
27, -953.2502990961075, False, 15.561049699783325, 497, 0, 11584, 0.5613214373588562, 1556.7608642578125
28, -580.4932644963264, False, 15.798539400100708, 497, 0, 12080, 0.6402561664581299, 1578.1092529296875
29, -922.7621990442276, False, 12.072794675827026, 385, 0, 12464, 0.5352320075035095, 1584.6033935546875
30, -677.2087954282761, False, 15.541906118392944, 497, 0, 12960, 0.6306333541870117, 1591.852294921875
31, -797.3690934181213, False, 14.219324827194214, 497, 0, 13456, 0.554749071598053, 1613.279296875
32, -641.0796236991882, False, 15.557871103286743, 497, 0, 13952, 0.5469444394111633, 1624.9833984375
33, -716.8873960971832, False, 15.825946569442749, 497, 0, 14448, 0.4918056130409241, 1632.3037109375
34, -858.2744387388229, False, 14.163973331451416, 497, 0, 14944, 0.4881230294704437, 1656.2506103515625
35, -622.0983580946922, False, 15.696180820465088, 497, 0, 15440, 0.44891539216041565, 1666.03466796875
36, -797.8646008968353, False, 14.032355785369873, 497, 0, 15936, 0.4616781175136566, 1679.4783935546875
37, -1224.813972711563, False, 12.052069902420044, 389, 0, 16324, 0.4904116690158844, 1700.316650390625
38, -879.1604174375534, False, 15.523839712142944, 497, 0, 16820, 0.3964141011238098, 1725.15380859375
39, -944.4623185694218, False, 11.038181781768799, 366, 0, 17185, 0.3567318022251129, 1730.657470703125
40, -918.6329301595688, False, 14.274409055709839, 497, 0, 17681, 0.36771273612976074, 1748.429443359375
41, -762.6351199746132, False, 15.652560234069824, 497, 0, 18177, 0.45673656463623047, 1761.7412109375
42, -1329.3562809228897, False, 15.436249017715454, 487, 0, 18663, 0.4157980978488922, 1781.7423095703125
43, -727.4177327007055, False, 15.480145931243896, 497, 0, 19159, 0.4369547367095947, 1790.2431640625
44, -840.8515312671661, False, 14.353296041488647, 497, 0, 19655, 0.5050517916679382, 1811.803466796875
45, -1019.3839052915573, False, 9.551748752593994, 336, 0, 19990, 0.5178139209747314, 1827.918701171875
46, -533.4025193452835, False, 15.421398162841797, 497, 0, 20486, 0.5296188592910767, 1834.377685546875
47, -1037.4423452615738, False, 11.469218492507935, 370, 0, 20855, 0.49088266491889954, 1831.718017578125
48, -892.0049967467785, False, 9.900161266326904, 318, 0, 21172, 0.3226131200790405, 1835.73193359375
49, -1256.258825302124, False, 11.88103199005127, 392, 0, 21563, 0.45829862356185913, 1841.636962890625
50, -1017.779009103775, False, 12.496999025344849, 402, 0, 21964, 0.4462096095085144, 1851.53369140625
51, -803.8570626974106, False, 14.327213287353516, 497, 0, 22460, 0.5252934098243713, 1861.9317626953125
52, -761.0213973522186, False, 15.322072982788086, 497, 0, 22956, 0.4919392764568329, 1871.386962890625
53, -1120.8431437015533, False, 11.947827339172363, 388, 0, 23343, 0.46627897024154663, 1867.4248046875
54, -1042.4368282556534, False, 9.145158290863037, 292, 0, 23634, 0.6113682389259338, 1876.8988037109375
55, -823.2863368988037, False, 15.06918716430664, 497, 0, 24130, 0.5085450410842896, 1886.5914306640625
56, -846.7001074552536, False, 14.425880193710327, 497, 0, 24626, 0.5332929491996765, 1897.012939453125
57, -608.5182541310787, False, 15.698606729507446, 497, 0, 25122, 0.4769646227359772, 1900.232666015625
58, -961.887459397316, False, 14.224049091339111, 497, 0, 25618, 0.4737716317176819, 1904.7677001953125
59, -596.645400851965, False, 15.60464334487915, 497, 0, 26114, 0.4466578960418701, 1905.9632568359375
60, -849.1775786876678, False, 14.4681978225708, 497, 0, 26610, 0.47576990723609924, 1904.07177734375
61, -983.0603822469711, False, 8.647258043289185, 294, 0, 26903, 0.4823099374771118, 1913.3973388671875
62, -908.0834270715714, False, 14.287880182266235, 497, 0, 27399, 0.42116326093673706, 1926.2183837890625
63, -910.0025231838226, False, 14.306776762008667, 497, 0, 27895, 0.41331326961517334, 1935.9755859375
64, -642.8036432266235, False, 15.546849250793457, 497, 0, 28391, 0.43127238750457764, 1944.3873291015625
65, -985.2337225675583, False, 15.161449670791626, 497, 0, 28887, 0.49319586157798767, 1953.5513916015625
66, -1168.4733728170395, False, 11.778651475906372, 386, 0, 29272, 0.5442088842391968, 1965.69091796875
