episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2357.4617002010345, 2, 6, 66, 122, 25122, 11.475050926208496, 13.029977798461914
2, -2428.7836842536926, 2, 7, 74, 196, 25196, 11.408988952636719, 13.172812461853027
3, -2295.8878536224365, 2, 5, 61, 257, 25257, 10.914955139160156, 13.100137710571289
4, -2279.848473548889, 2, 4, 55, 312, 25312, 11.49409294128418, 13.096985816955566
5, -2344.044287919998, 2, 5, 60, 372, 25372, 11.560168266296387, 13.241272926330566
6, -2385.879128217697, 2, 11, 134, 506, 25506, 12.308745384216309, 13.263971328735352
7, -2747.2270889282227, 2, 15, 174, 680, 25680, 11.271722793579102, 13.334868431091309
8, -2221.7296358942986, 2, 5, 56, 736, 25736, 12.164063453674316, 13.406798362731934
9, -3866.8457072377205, 2, 32, 367, 1103, 26103, 11.426013946533203, 13.48200798034668
10, -2279.387547969818, 2, 5, 60, 1163, 26163, 11.851393699645996, 13.475485801696777
11, -3801.758467197418, 2, 20, 227, 1390, 26390, 11.66737174987793, 13.559441566467285
12, -3027.458223104477, 2, 0, 171, 1561, 26561, 11.101447105407715, 13.617256164550781
13, -2747.8866193294525, 2, 13, 155, 1716, 26716, 11.681830406188965, 13.76158332824707
14, -2549.097470998764, 2, 15, 169, 1885, 26885, 11.397860527038574, 13.905778884887695
15, -2930.8613295555115, 3, 15, 172, 2057, 27057, 10.67031192779541, 13.947853088378906
16, -2643.2450392246246, 2, 0, 152, 2209, 27209, 11.1100492477417, 13.967341423034668
17, -2903.0010011196136, 2, 14, 164, 2373, 27373, 11.397473335266113, 14.074264526367188
18, -2267.9179327487946, 2, 5, 51, 2424, 27424, 11.954054832458496, 14.112009048461914
19, -3830.551237821579, 2, 22, 251, 2675, 27675, 11.096137046813965, 14.10564136505127
20, -2841.412906050682, 2, 17, 192, 2867, 27867, 11.67376708984375, 14.29953384399414
21, -2425.754093647003, 2, 6, 70, 2937, 27937, 11.890024185180664, 14.377485275268555
22, -2670.5597027540207, 2, 10, 127, 3064, 28064, 11.780981063842773, 14.477930068969727
23, -2513.9410438537598, 2, 15, 181, 3245, 28245, 11.368538856506348, 14.461441993713379
24, -2697.3210368156433, 2, 14, 167, 3412, 28412, 11.6608247756958, 14.522419929504395
25, -2591.041201710701, 2, 10, 123, 3535, 28535, 11.796810150146484, 14.660765647888184
26, -2358.614508867264, 2, 5, 60, 3595, 28595, 11.091608047485352, 14.616739273071289
27, -2648.7032985687256, 2, 11, 122, 3717, 28717, 11.662651062011719, 14.688945770263672
28, -2311.563865542412, 3, 9, 112, 3829, 28829, 10.900999069213867, 14.689400672912598
29, -2224.6480025053024, 2, 4, 55, 3884, 28884, 11.289426803588867, 14.759147644042969
30, 2442.16138201952, 1, 4, 48, 3932, 28932, 10.88489818572998, 14.86898422241211
31, -2350.473754763603, 2, 3, 36, 3968, 28968, 11.792106628417969, 14.902323722839355
32, -2337.4907009601593, 3, 0, 103, 4071, 29071, 12.807066917419434, 14.970330238342285
33, -2488.64191532135, 2, 8, 104, 4175, 29175, 11.348982810974121, 14.818849563598633
34, -2279.6807256937027, 2, 0, 58, 4233, 29233, 11.030377388000488, 14.781643867492676
35, -2377.236932992935, 3, 9, 105, 4338, 29338, 11.553359985351562, 14.927844047546387
36, -2481.632452428341, 2, 0, 118, 4456, 29456, 11.64747428894043, 14.904007911682129
37, -3094.7983305454254, 2, 14, 163, 4619, 29619, 11.866288185119629, 15.062324523925781
38, -2616.482479453087, 2, 14, 160, 4779, 29779, 11.60175895690918, 15.04084587097168
39, -2218.2702281475067, 3, 9, 99, 4878, 29878, 11.792759895324707, 15.213994026184082
40, -3475.6886184215546, 2, 18, 215, 5093, 30093, 11.55252742767334, 15.118861198425293
41, 2344.4565648138523, 1, 8, 98, 5191, 30191, 12.516191482543945, 15.258569717407227
42, -2402.3877964019775, 2, 4, 48, 5239, 30239, 12.337252616882324, 15.394340515136719
43, -2835.712546825409, 2, 13, 152, 5391, 30391, 11.81202220916748, 15.444075584411621
44, -2288.0894498825073, 2, -8, 56, 5447, 30447, 12.721006393432617, 15.576804161071777
45, -2906.7313854694366, 2, 16, 185, 5632, 30632, 12.067090034484863, 15.471700668334961
46, -2303.0235867500305, 2, 4, 55, 5687, 30687, 11.696762084960938, 15.520526885986328
47, -2546.9988985061646, 2, 9, 108, 5795, 30795, 11.682103157043457, 15.43142032623291
48, -2576.3441004753113, 2, 13, 159, 5954, 30954, 11.466805458068848, 15.640592575073242
49, -2652.4536180496216, 2, 16, 184, 6138, 31138, 11.865056991577148, 15.659967422485352
50, -2742.717393875122, 2, 14, 164, 6302, 31302, 12.406855583190918, 15.754935264587402
51, -2449.1612389087677, 3, 9, 95, 6397, 31397, 12.135661125183105, 15.708887100219727
52, -2651.0585193634033, 2, 11, 128, 6525, 31525, 12.224668502807617, 15.884215354919434
53, -3080.4160907268524, 2, 13, 158, 6683, 31683, 12.284682273864746, 15.959064483642578
54, -2377.8940323591232, 3, 11, 122, 6805, 31805, 12.872278213500977, 16.162195205688477
55, -2278.210886001587, 2, 4, 58, 6863, 31863, 11.56988525390625, 15.993069648742676
56, -2475.1226011514664, 2, 11, 124, 6987, 31987, 11.7909517288208, 16.035411834716797
57, -2371.800661087036, 2, 5, 56, 7043, 32043, 12.606401443481445, 16.106094360351562
58, -2453.154039144516, 2, 9, 107, 7150, 32150, 12.158143997192383, 16.127357482910156
59, -2288.5923005342484, 2, 6, 72, 7222, 32222, 12.73012638092041, 16.318763732910156
60, -2586.6692378520966, 2, 11, 132, 7354, 32354, 13.013618469238281, 16.31006622314453
61, -2404.957918405533, 3, 8, 104, 7458, 32458, 12.192381858825684, 16.325523376464844
62, -2557.9433357715607, 2, 8, 93, 7551, 32551, 11.494074821472168, 16.15557098388672
63, -2790.8511786460876, 2, 6, 79, 7630, 32630, 13.43378734588623, 16.45481300354004
64, -2231.6651136875153, 2, 4, 57, 7687, 32687, 12.238306999206543, 16.439130783081055
65, -2330.0666095018387, 2, 5, 64, 7751, 32751, 12.215388298034668, 16.26746368408203
66, -2613.7021350860596, 2, 9, 109, 7860, 32860, 12.983509063720703, 16.534196853637695
67, -2656.203144431114, 2, 7, 93, 7953, 32953, 13.255422592163086, 16.69711685180664
68, -2375.6069719791412, 2, 5, 58, 8011, 33011, 12.978326797485352, 16.526533126831055
69, -2435.399790763855, 2, 8, 101, 8112, 33112, 11.865262985229492, 16.725997924804688
70, -2964.710140943527, 2, 12, 142, 8254, 33254, 12.530617713928223, 16.79676628112793
71, -2633.8680144548416, 3, 9, 107, 8361, 33361, 12.425159454345703, 16.65920066833496
72, -2734.800905764103, 2, 21, 244, 8605, 33605, 12.570125579833984, 16.78950309753418
73, -2913.782433271408, 2, 14, 166, 8771, 33771, 13.115893363952637, 17.005809783935547
74, -2321.6557335853577, 2, 4, 58, 8829, 33829, 12.373527526855469, 16.945781707763672
75, -2542.1068387031555, 2, 9, 104, 8933, 33933, 12.820253372192383, 17.180072784423828
76, -2588.157876253128, 2, 12, 150, 9083, 34083, 13.054088592529297, 17.18290901184082
77, -2324.649139881134, 2, 5, 57, 9140, 34140, 12.4345121383667, 17.13532829284668
78, -2431.5051991939545, 2, 6, 74, 9214, 34214, 13.212100982666016, 17.228252410888672
79, -2861.2744312286377, 2, 14, 161, 9375, 34375, 12.693907737731934, 17.385948181152344
80, -2520.7451108694077, 2, 9, 111, 9486, 34486, 13.220969200134277, 17.35240364074707
81, -2780.601564884186, 2, 13, 157, 9643, 34643, 12.949666976928711, 17.439598083496094
82, -2655.0695250034332, 2, 14, 166, 9809, 34809, 12.982026100158691, 17.571069717407227
83, -2495.80575633049, 2, 13, 163, 9972, 34972, 12.765013694763184, 17.58749771118164
84, -2668.0978220701218, 3, 11, 128, 10100, 35100, 12.342167854309082, 17.53822135925293
85, -2374.492988586426, 2, 5, 57, 10157, 35157, 12.622305870056152, 17.664220809936523
86, -2774.2841687202454, 2, 11, 132, 10289, 35289, 12.740213394165039, 17.763259887695312
87, -2312.0659321546555, 2, 5, 65, 10354, 35354, 12.89952564239502, 17.77442169189453
88, 2417.6616117954254, 1, 4, 53, 10407, 35407, 14.3289794921875, 18.120691299438477
89, -2530.6085040569305, 2, 10, 112, 10519, 35519, 13.339376449584961, 18.042661666870117
90, -2409.616111755371, 2, 8, 98, 10617, 35617, 12.840370178222656, 17.87630844116211
91, -3026.98694396019, 2, 14, 164, 10781, 35781, 12.92458724975586, 18.024614334106445
92, -2579.675433039665, 2, 16, 186, 10967, 35967, 13.089621543884277, 18.16121482849121
93, -2483.2990988492966, 2, 14, 163, 11130, 36130, 12.688681602478027, 18.071590423583984
94, -2761.7927753925323, 2, 14, 171, 11301, 36301, 12.151398658752441, 18.109111785888672
95, -2247.146856188774, 2, -11, 55, 11356, 36356, 13.326760292053223, 18.340425491333008
96, -3342.4296956062317, 2, 21, 246, 11602, 36602, 12.742870330810547, 18.26917839050293
97, -2325.2840354442596, 2, 0, 58, 11660, 36660, 12.43738079071045, 18.42470932006836
98, -2517.9563652276993, 2, 14, 167, 11827, 36827, 12.36661434173584, 18.48249053955078
99, -2211.7875533103943, 2, 5, 57, 11884, 36884, 12.474233627319336, 18.378664016723633
100, -3145.954484641552, 2, 25, 281, 12165, 37165, 12.878674507141113, 18.494590759277344
101, -2968.2871651649475, 2, 14, 161, 12326, 37326, 12.57900619506836, 18.568492889404297
102, -2521.8100908994675, 2, 6, 73, 12399, 37399, 12.974884033203125, 18.841751098632812
103, -2411.0987968444824, 3, 9, 104, 12503, 37503, 12.541536331176758, 18.777347564697266
104, -2329.6578435897827, 2, 4, 53, 12556, 37556, 12.354621887207031, 19.15265655517578
105, -2431.132455587387, 3, 8, 99, 12655, 37655, 12.833887100219727, 19.03020477294922
106, -2547.81496822834, 2, 10, 113, 12768, 37768, 12.843364715576172, 18.93518829345703
107, -2364.803954601288, 2, 6, 73, 12841, 37841, 12.085541725158691, 18.936996459960938
108, -2834.655266046524, 2, 13, 153, 12994, 37994, 13.151861190795898, 19.157817840576172
109, -3127.884165406227, 2, 17, 192, 13186, 38186, 12.50048828125, 19.16172981262207
110, -2110.296699523926, 2, 4, 53, 13239, 38239, 13.119308471679688, 19.204381942749023
111, -2428.7484288215637, 3, 8, 97, 13336, 38336, 13.27233600616455, 19.339540481567383
112, -2493.4945089817047, 3, 8, 101, 13437, 38437, 12.780306816101074, 19.36810874938965
113, -2358.5183477401733, 3, 9, 104, 13541, 38541, 12.478784561157227, 19.307636260986328
114, -2768.0925533771515, 2, 15, 168, 13709, 38709, 13.497369766235352, 19.40776824951172
115, -2427.6124534606934, 2, 5, 61, 13770, 38770, 12.93964958190918, 19.488658905029297
116, -2254.595973968506, 2, 5, 59, 13829, 38829, 11.395537376403809, 19.36247444152832
117, -2595.161224603653, 2, 7, 83, 13912, 38912, 12.80190658569336, 19.63593101501465
118, 2390.2326360940933, 1, 5, 64, 13976, 38976, 11.752145767211914, 19.47965431213379
119, -2384.9863788485527, 2, 13, 143, 14119, 39119, 13.015292167663574, 19.837520599365234
120, -3217.450941324234, 2, 19, 227, 14346, 39346, 12.558365821838379, 19.754018783569336
121, -2553.0059711933136, 2, 14, 169, 14515, 39515, 12.65337085723877, 19.851036071777344
122, -2831.9082411527634, 2, 12, 148, 14663, 39663, 13.437219619750977, 19.896167755126953
123, -2353.7940809726715, 2, 10, 111, 14774, 39774, 12.324695587158203, 19.911100387573242
124, -2337.6884701251984, 2, 5, 57, 14831, 39831, 12.5346040725708, 19.947532653808594
