episode, reward, success, duration, n_steps, memory length, avg_critic_loss, avg_actor_loss
1, 1719.9567905664444, 1, 4.409602165222168, 173, 168, 0.33943942189216614, 111.06224822998047
2, -2474.61603808403, 3, 3.7901196479797363, 63, 226, 10.431656837463379, 229.35910034179688
3, -3153.8679662942886, 2, 20.45200276374817, 322, 543, 12.273755073547363, 326.2614440917969
4, -2926.112613558769, 2, 12.652687311172485, 200, 738, 10.635091781616211, 411.4100646972656
5, -4878.1648826003075, 3, 62.61199617385864, 971, 1704, 8.066329002380371, 520.83935546875
6, -2725.2653546333313, 3, 10.3939208984375, 165, 1864, 5.503622531890869, 556.0469970703125
7, 2379.1691554784775, 1, 4.46400785446167, 74, 1933, 6.050224781036377, 543.3319091796875
8, -3488.321140050888, 3, 19.788350582122803, 327, 2255, 6.1518635749816895, 602.5220336914062
9, -4123.772822856903, 2, 19.420735359191895, 320, 2570, 8.489789962768555, 650.0355224609375
10, -2516.960780143738, 3, 6.543323993682861, 110, 2675, 5.838107109069824, 662.635009765625
11, -6815.16886818409, 3, 65.57906007766724, 1074, 3744, 6.739443302154541, 756.1769409179688
12, -2491.259673476219, 3, 9.17114806175232, 155, 3894, 7.088112831115723, 793.8060302734375
13, -3121.763163089752, 2, 14.19478464126587, 236, 4125, 5.8628621101379395, 816.0030517578125
14, -2602.7114572525024, 3, 6.787912845611572, 116, 4236, 6.067615032196045, 826.0451049804688
15, -4911.179005682468, 3, 37.14003920555115, 605, 4836, 6.9689412117004395, 906.661376953125
16, -3351.7384991645813, 3, 21.708482265472412, 355, 5186, 5.014090538024902, 953.2510375976562
17, -3614.440851211548, 2, 16.657498836517334, 272, 5453, 6.224138259887695, 972.6995849609375
18, -2345.4261318445206, 3, 6.346666097640991, 105, 5553, 5.937237739562988, 965.916015625
19, -2697.903859615326, 3, 11.006002187728882, 181, 5729, 6.724051475524902, 1003.6970825195312
20, -3992.6771796941757, 3, 25.82262372970581, 421, 6145, 6.0281219482421875, 1042.6129150390625
21, -2267.4953722953796, 3, 6.28881573677063, 106, 6246, 7.5012688636779785, 1043.9327392578125
22, -3069.869841814041, 3, 16.953320026397705, 276, 6517, 6.819860458374023, 1092.4996337890625
23, -3216.8460986614227, 2, 16.715074062347412, 275, 6787, 6.221039295196533, 1091.9295654296875
24, -2523.8787610530853, 3, 6.6775994300842285, 111, 6893, 5.421890735626221, 1096.171142578125
25, -3734.348610639572, 3, 23.784329175949097, 387, 7275, 6.906861782073975, 1154.7301025390625
26, -3435.6621804237366, 3, 22.029455184936523, 361, 7631, 7.7103118896484375, 1193.8543701171875
27, 2309.8349192738533, 1, 6.749197483062744, 112, 7738, 7.0807037353515625, 1159.916748046875
28, -2702.5673570632935, 2, 7.868852138519287, 130, 7863, 8.764305114746094, 1204.761962890625
29, -5042.966066479683, 2, 50.92944860458374, 829, 8687, 7.463421821594238, 1278.5411376953125
30, -3061.469937443733, 2, 14.636358737945557, 240, 8922, 7.4606428146362305, 1301.469482421875
31, -2766.589434862137, 3, 9.839264869689941, 165, 9082, 6.800488471984863, 1312.5560302734375
32, -3413.511374115944, 3, 23.633609294891357, 386, 9463, 6.375087261199951, 1363.986572265625
33, -4655.313593387604, 3, 49.36109781265259, 806, 10264, 6.619962215423584, 1439.4219970703125
34, -2773.634662628174, 3, 9.926222801208496, 165, 10424, 4.751767158508301, 1417.107421875
35, -4304.104066371918, 3, 28.5470449924469, 468, 10887, 6.378747463226318, 1512.151123046875
36, -3108.7210805416107, 2, 13.252659320831299, 221, 11103, 7.422192096710205, 1531.960205078125
37, -4792.96723985672, 2, 35.50275993347168, 580, 11678, 7.113024711608887, 1603.142822265625
38, -3769.5567576885223, 3, 26.156703233718872, 429, 12102, 7.407726764678955, 1681.832275390625
39, -3269.516107082367, 2, 16.022156476974487, 265, 12362, 6.565150737762451, 1697.4293212890625
40, -3821.1015981435776, 3, 29.412718772888184, 486, 12843, 6.957746982574463, 1743.769775390625
41, -2549.080063700676, 3, 10.472389221191406, 176, 13014, 6.408759593963623, 1739.49365234375
42, -2581.321730852127, 3, 9.590313196182251, 161, 13170, 6.534760475158691, 1754.2724609375
43, -2393.022923350334, 3, 7.105621576309204, 120, 13285, 6.991872787475586, 1737.9361572265625
44, -1705.2032477855682, 1, 82.24544620513916, 1350, 14630, 6.604157447814941, 1881.5670166015625
45, -2217.102886199951, 3, 3.7293946743011475, 65, 14690, 6.926570892333984, 1813.12890625
46, -2937.3193823695183, 2, 14.536589860916138, 241, 14926, 6.182990550994873, 1921.2781982421875
47, 1357.477463543415, 1, 26.846866130828857, 443, 15364, 6.331900119781494, 1982.87939453125
48, -2834.253415107727, 3, 17.077154874801636, 282, 15641, 5.802452564239502, 1999.6763916015625
49, -3391.450525045395, 2, 23.79034113883972, 393, 16029, 6.297886371612549, 2050.914794921875
50, -3623.4256378412247, 3, 27.317569971084595, 449, 16473, 6.397690773010254, 2083.242431640625
51, -2599.31107878685, 3, 8.888447999954224, 145, 16613, 6.180653095245361, 2069.837158203125
52, -2395.7443590164185, 3, 6.689217805862427, 110, 16718, 6.5862507820129395, 2079.960693359375
53, -3510.8498493433, 3, 24.621917009353638, 405, 17118, 6.594082355499268, 2177.260009765625
54, -3186.960192680359, 3, 25.442293882369995, 407, 17520, 5.928235054016113, 2179.50244140625
55, -2571.821520090103, 3, 8.548801898956299, 140, 17655, 6.868666648864746, 2158.48388671875
56, -4509.189251661301, 3, 34.93997073173523, 560, 18210, 6.1622209548950195, 2255.919921875
57, -4692.313318610191, 3, 27.880061149597168, 459, 18664, 6.078103065490723, 2320.928955078125
58, 2200.3739082813263, 1, 9.940906763076782, 166, 18825, 6.753306865692139, 2296.3876953125
59, -2262.4250226020813, 3, 1.4785380363464355, 28, 18848, 6.974923133850098, 1959.8043212890625
60, -2384.0968675613403, 3, 6.31476354598999, 108, 18951, 6.980616092681885, 2266.961669921875
61, -2310.0058028697968, 3, 6.162415504455566, 104, 19050, 5.920835494995117, 2375.99169921875
62, 1019.0052791833878, 1, 26.764538288116455, 441, 19486, 7.212913990020752, 2401.041748046875
63, -2062.085270881653, 3, 0.12302875518798828, 6, 19487, 0.18719615042209625, 468.074462890625
64, -2682.5075833797455, 3, 11.291997194290161, 188, 19670, 6.814614772796631, 2423.410888671875
65, -3405.7713025808334, 3, 33.89826321601868, 545, 20210, 7.074875831604004, 2469.473388671875
66, 2415.577682852745, 1, 2.5394797325134277, 44, 20249, 7.040731430053711, 2226.295166015625
67, -2897.9565439224243, 2, 11.627922534942627, 189, 20433, 6.525827884674072, 2462.3798828125
68, -2305.836048722267, 3, 9.707788228988647, 158, 20586, 7.358001232147217, 2469.07666015625
69, -2499.719053030014, 3, 6.003354787826538, 99, 20680, 6.8989176750183105, 2425.440673828125
70, -4473.388520002365, 2, 24.592841625213623, 394, 21069, 7.040410995483398, 2573.772705078125
71, -4721.118886590004, 3, 52.467312812805176, 836, 21900, 6.7500901222229, 2661.63330078125
72, -2597.3118669986725, 3, 6.474564075469971, 109, 22004, 5.942783832550049, 2581.75830078125
73, -2954.639234304428, 3, 14.522233963012695, 239, 22238, 7.410616397857666, 2711.53076171875
74, -2841.005848646164, 2, 12.718780755996704, 210, 22443, 6.45690393447876, 2674.7451171875
75, 2331.5690625607967, 1, 6.574703216552734, 110, 22548, 7.384389400482178, 2643.65869140625
76, -2608.0308997631073, 3, 8.228468418121338, 137, 22680, 6.23744535446167, 2736.81787109375
77, -4457.721660852432, 2, 39.28895568847656, 642, 23317, 7.867345809936523, 2850.395263671875
78, -2330.7376976013184, 3, 6.389436960220337, 108, 23420, 7.571875095367432, 2819.75732421875
79, 1810.0773504376411, 1, 15.368719100952148, 253, 23668, 7.249825954437256, 2847.2177734375
80, -4481.427039444447, 2, 46.27124285697937, 756, 24419, 6.822661399841309, 2922.0439453125
81, -2498.3985978364944, 3, 7.1451966762542725, 121, 24535, 5.943457126617432, 2882.65234375
82, -2576.7951506376266, 3, 11.00670051574707, 184, 24714, 7.209653854370117, 2972.6884765625
83, -2574.90559053421, 2, 10.570334911346436, 176, 24885, 6.499048233032227, 2905.788818359375
84, -2534.150198698044, 3, 6.926000356674194, 116, 24996, 7.544672966003418, 2902.16845703125
85, 1998.3060683608055, 1, 13.610650539398193, 224, 25215, 6.297012805938721, 2983.177490234375
86, -3801.9584177732468, 3, 26.392144680023193, 432, 25642, 7.289824962615967, 3066.207763671875
87, -3614.7067441940308, 2, 14.758829355239868, 243, 25880, 6.592475891113281, 3055.064697265625
88, -2758.515552043915, 3, 10.060969352722168, 168, 26043, 6.821242332458496, 3055.007080078125
89, -3115.3582253456116, 3, 16.962626695632935, 280, 26318, 6.141146659851074, 3086.479248046875
90, 2381.942808330059, 1, 4.150394916534424, 72, 26385, 8.650007247924805, 2981.2548828125
91, -3633.75320404768, 3, 22.283291339874268, 367, 26747, 8.389622688293457, 3195.683837890625
92, -2628.373360514641, 3, 11.564298868179321, 190, 26932, 7.927182674407959, 3185.386474609375
93, 2381.744444191456, 1, 5.0174455642700195, 89, 27016, 7.077554225921631, 3051.189208984375
94, -2333.661994457245, 3, 3.711703062057495, 66, 27077, 6.290420055389404, 2953.09228515625
95, 1115.7322848439217, 1, 17.882275342941284, 309, 27381, 7.201516151428223, 3239.59033203125
96, -2398.676799893379, 3, 8.02414584159851, 139, 27515, 7.796689033508301, 3146.17041015625
97, 434.15235644578934, 1, 46.18186640739441, 784, 28294, 7.344635009765625, 3330.915771484375
98, -3063.56930488348, 3, 19.930397033691406, 339, 28628, 7.865170955657959, 3344.664794921875
99, -2352.984633922577, 3, 6.657994508743286, 116, 28739, 6.568291664123535, 3245.41552734375
100, 2396.8223138153553, 1, 4.322326183319092, 77, 28811, 7.786184310913086, 3172.091552734375
101, -2586.3720949292183, 3, 12.366967916488647, 214, 29020, 6.779196262359619, 3315.3896484375
102, 2466.323142826557, 1, 0.40448904037475586, 11, 29026, 4.4039530754089355, 1806.4754638671875
103, -4458.222123622894, 3, 38.67651581764221, 658, 29679, 7.312367916107178, 3419.501953125
104, -2321.4508064985275, 3, 6.476416349411011, 112, 29786, 7.970582485198975, 3358.933837890625
105, 1465.9634405076504, 1, 16.765884399414062, 286, 30067, 8.073318481445312, 3424.95068359375
106, -2580.7929067611694, 3, 12.871984720230103, 223, 30285, 6.5793867111206055, 3459.07421875
107, -3310.2462186813354, 2, 16.181137561798096, 277, 30557, 8.080222129821777, 3484.476318359375
108, -2397.775631427765, 3, 8.920714139938354, 154, 30706, 7.944783687591553, 3452.015380859375
109, -3229.3597891926765, 3, 21.429267644882202, 363, 31064, 7.859817981719971, 3576.937255859375
110, -3079.73133957386, 2, 15.966040134429932, 269, 31328, 7.9611897468566895, 3536.390869140625
111, -2573.4611923098564, 2, 12.803038835525513, 213, 31536, 7.618753910064697, 3580.142333984375
112, -2440.42453199625, 3, 6.943991422653198, 121, 31652, 7.967706203460693, 3487.240966796875
113, -3266.9682850837708, 2, 16.17124652862549, 270, 31917, 6.838264465332031, 3601.12255859375
114, 2469.8809366226196, 1, 0.046634674072265625, 4, 31917, 0.0, 0.0
115, -2490.850187897682, 3, 11.22869324684143, 190, 32102, 6.654886245727539, 3606.39208984375
116, -2757.9869854450226, 3, 13.309845685958862, 227, 32324, 6.575627326965332, 3629.010498046875
117, 2459.24250125885, 1, 1.707763910293579, 33, 32352, 6.020899295806885, 3159.46142578125
118, -2975.8489706516266, 3, 16.299861431121826, 281, 32628, 8.353588104248047, 3694.989990234375
119, 977.9479573965073, 1, 31.242751359939575, 533, 33156, 8.114689826965332, 3751.87451171875
120, -4679.218102216721, 3, 42.089844703674316, 718, 33869, 7.9804253578186035, 3800.29248046875
121, -3371.510411441326, 2, 16.085227251052856, 275, 34139, 7.685919761657715, 3829.813232421875
122, -2771.050219833851, 3, 12.267794370651245, 213, 34347, 8.081036567687988, 3791.30224609375
123, -2977.8278205394745, 2, 14.717916011810303, 252, 34594, 8.447355270385742, 3870.875244140625
124, -2863.8004796504974, 3, 16.805508136749268, 288, 34877, 7.617473125457764, 3880.96875
125, 2391.833395600319, 1, 3.0792596340179443, 56, 34928, 7.547797203063965, 3679.177001953125
126, -2471.327393770218, 2, 3.10573673248291, 56, 34979, 8.954432487487793, 3572.900634765625
127, 2266.8649533987045, 1, 7.600792407989502, 131, 35105, 5.908762454986572, 3835.226806640625
128, -2219.932734489441, 3, 1.154097080230713, 23, 35123, 5.299421310424805, 3095.899169921875
129, 1563.042843669653, 1, 22.83051609992981, 387, 35505, 7.969335556030273, 3962.1728515625
130, 1648.2319686412811, 1, 19.03337836265564, 327, 35827, 8.521265029907227, 4013.42236328125
131, -2476.57610142231, 3, 9.053943872451782, 156, 35978, 7.561704158782959, 3923.114501953125
132, -3296.4859313964844, 3, 18.201436519622803, 312, 36285, 7.59437894821167, 3971.013671875
133, -2394.513183414936, 3, 9.616954565048218, 166, 36446, 6.76100492477417, 3980.669921875
134, -2809.2905740737915, 3, 10.70592188835144, 186, 36627, 9.137992858886719, 4016.233154296875
135, -4619.107663273811, 2, 46.3206889629364, 784, 37406, 7.971531391143799, 4126.4501953125
136, -2504.3676035404205, 3, 6.170593738555908, 108, 37509, 9.406521797180176, 4012.35888671875
