episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
1, -2636.9999260902405, 3, 9.006405863969121, 162, 491, 25491, 11.281432151794434, 18.569053649902344, 1.155429255263305e-07
2, -3330.4147510528564, 2, 17.589183192991186, 334, 825, 25825, 12.313599586486816, 18.77971839904785, 1.4825752646310958e-07
3, -3045.1376834511757, 3, 15.162665292038582, 294, 1119, 26119, 11.859715461730957, 19.094669342041016, 7.102720528131439e-08
4, -2861.9676611423492, 3, 7.323701238958165, 139, 1258, 26258, 12.936612129211426, 19.26413345336914, 1.949496004435656e-07
5, 2420.518852055073, 1, 3.3315740849939175, 62, 1320, 26320, 12.038952827453613, 19.544822692871094, 3.289192869898773e-07
6, -2679.3200917243958, 3, 3.91273242700845, 77, 1397, 26397, 11.747450828552246, 19.316682815551758, 2.4762370490602083e-07
7, -3611.308268904686, 2, 14.141718496975955, 270, 1667, 26667, 12.416289329528809, 19.65274429321289, 6.932597089972761e-08
8, -2599.494628429413, 3, 6.338828211999498, 125, 1792, 26792, 12.16334342956543, 20.042251586914062, 1.8996791914105414e-07
9, -4668.76381778717, 2, 15.5451539910282, 321, 2113, 27113, 11.515288352966309, 20.054826736450195, 8.615894341765906e-08
10, -3617.561207294464, 2, 15.982685663970187, 338, 2451, 27451, 12.235794067382812, 20.345563888549805, 6.075140458019174e-08
11, -3983.482081890106, 3, 17.734951168007683, 315, 2766, 27766, 11.938748359680176, 21.021053314208984, 8.336833811232021e-08
12, -2334.4181775450706, 3, 6.539687843993306, 118, 2884, 27884, 11.01980972290039, 20.782135009765625, 3.2316942667683304e-07
13, -2835.1370017528534, 3, 6.939312321017496, 159, 3043, 28043, 11.180009841918945, 21.15593719482422, 1.6472328735410042e-07
14, -2695.882310628891, 3, 6.320426303020213, 142, 3185, 28185, 11.253745079040527, 21.505155563354492, 3.462535998141262e-07
15, -2652.8401848077774, 3, 6.316411197010893, 144, 3329, 28329, 11.617956161499023, 21.39377784729004, 1.6004843119945792e-07
16, -2532.995272397995, 3, 6.335214732971508, 148, 3477, 28477, 11.995223999023438, 22.18950843811035, 1.2599992112734833e-07
17, -2724.817747592926, 3, 6.114973577961791, 140, 3617, 28617, 12.33923625946045, 22.071964263916016, 1.1822849046438933e-07
18, -2562.77237033844, 3, 6.138800402986817, 141, 3758, 28758, 10.568422317504883, 22.292888641357422, 1.5851060681520625e-07
19, -2755.8055617809296, 3, 6.51864221598953, 146, 3904, 28904, 12.365652084350586, 22.301090240478516, 1.4685633375424228e-07
20, -3726.1993017196655, 2, 15.966481795010623, 374, 4278, 29278, 11.368888854980469, 22.507354736328125, 4.7245944406896986e-08
21, -2880.234836101532, 3, 6.7169981229817495, 149, 4427, 29427, 11.886748313903809, 22.7108154296875, 1.8796660068551166e-07
22, -3672.341398835182, 2, 16.364752443972975, 383, 4810, 29810, 12.103245735168457, 22.906522750854492, 4.467627947892284e-08
23, -3973.8044924736023, 2, 17.169494029018097, 388, 5198, 30198, 11.900670051574707, 23.44224739074707, 4.8961343973414185e-08
24, -3473.131240606308, 2, 14.558365534991026, 337, 5535, 30535, 11.517485618591309, 23.93656349182129, 7.668246158594901e-08
25, -4368.94128704071, 2, 19.147476988029666, 440, 5975, 30975, 11.730177879333496, 24.461824417114258, 6.936593722044067e-08
26, -4404.418356657028, 2, 15.749333844985813, 358, 6333, 31333, 11.637473106384277, 25.010610580444336, 5.560051051473151e-08
27, -3608.8522859811783, 2, 14.361112062993925, 331, 6664, 31664, 11.546642303466797, 25.562440872192383, 5.760413012115617e-08
28, -4055.5842843055725, 2, 13.137666816008277, 303, 6967, 31967, 11.363025665283203, 25.995683670043945, 1.1179540091172697e-07
29, 1972.5088510513306, 1, 7.3212584020220675, 166, 7133, 32133, 10.600440979003906, 26.13860511779785, 1.1906622493841562e-07
30, -2959.1991374492645, 2, 5.519002797023859, 123, 7256, 32256, 12.143380165100098, 26.607555389404297, 1.5672389039300322e-07
31, -2710.7710456848145, 3, 6.538885943999048, 150, 7406, 32406, 11.792597770690918, 27.184001922607422, 1.3316671053568523e-07
32, -2468.683113217354, 3, 6.122972287994344, 138, 7544, 32544, 12.697735786437988, 27.508691787719727, 1.5537691491561523e-07
33, -2769.50737452507, 3, 8.943045291001908, 204, 7748, 32748, 12.047475814819336, 27.354150772094727, 1.8213719229999127e-07
34, -2433.813192486763, 3, 6.335034601972438, 137, 7885, 32885, 12.117630004882812, 27.656009674072266, 1.9066407936659172e-07
35, -3221.64311003685, 3, 19.55566606199136, 450, 8335, 33335, 11.665926933288574, 27.670042037963867, 3.7871068343520165e-08
36, -2790.548815727234, 3, 9.132665958022699, 203, 8538, 33538, 11.942541122436523, 28.160717010498047, 9.66797706675647e-08
37, -2537.5754704475403, 3, 6.319821447017603, 140, 8678, 33678, 12.30887508392334, 28.227649688720703, 1.5015747132045882e-07
38, -6312.872921943665, 2, 32.58075896202354, 748, 9426, 34426, 11.491816520690918, 28.47243881225586, 2.605080751473094e-08
39, -4046.872904062271, 2, 15.551004779990762, 344, 9770, 34770, 11.224481582641602, 29.29157257080078, 6.9232597990438e-08
40, -2422.9381672143936, 3, 6.3420718280249275, 146, 9916, 34916, 10.867745399475098, 29.567182540893555, 1.2198611392244085e-07
41, -2603.0023021698, 3, 6.538449849002063, 143, 10059, 35059, 12.077498435974121, 29.878128051757812, 1.3040551277515771e-07
42, -2751.567271709442, 3, 5.935164994036313, 138, 10197, 35197, 11.202529907226562, 29.798696517944336, 1.9181195808493573e-07
43, -2754.2968834638596, 3, 7.1229524130467325, 162, 10359, 35359, 11.728560447692871, 30.329557418823242, 1.0864172464259612e-07
44, -2702.805941581726, 3, 6.138727176003158, 144, 10503, 35503, 11.470563888549805, 30.80263900756836, 1.5859728187529578e-07
45, -4469.120901346207, 2, 14.137597215012647, 329, 10832, 35832, 11.769147872924805, 30.6580753326416, 6.53831262741589e-08
46, -2437.5759164094925, 3, 6.521223345014732, 149, 10981, 35981, 11.784096717834473, 30.365102767944336, 1.2609381041170766e-07
47, -2800.667003393173, 3, 9.330341078049969, 215, 11196, 36196, 12.258609771728516, 30.966915130615234, 1.0557678463154061e-07
48, -4667.756164550781, 2, 14.742851579969283, 341, 11537, 36537, 11.777045249938965, 31.52456283569336, 5.304680924174373e-08
49, -3086.538248181343, 2, 13.75666844000807, 322, 11859, 36859, 11.716169357299805, 32.193321228027344, 8.610865355741164e-08
50, -2790.1129364967346, 3, 6.520044061006047, 145, 12004, 37004, 12.237069129943848, 32.61853790283203, 1.2812429460985906e-07
51, -3972.1470017433167, 2, 15.965183102001902, 374, 12378, 37378, 11.841222763061523, 33.09186553955078, 5.00480051745068e-08
52, -4663.429578304291, 2, 14.341443022014573, 332, 12710, 37710, 11.908519744873047, 33.22761154174805, 5.659046975604023e-08
53, -4134.736332178116, 2, 14.759343522018753, 348, 13058, 38058, 12.423845291137695, 34.20474624633789, 6.863787160094442e-08
54, -4020.575103998184, 2, 18.348528505011927, 423, 13481, 38481, 11.423166275024414, 34.833038330078125, 4.3590932899544425e-08
55, -2860.669157266617, 3, 9.131312254990917, 209, 13690, 38690, 11.365936279296875, 35.26079177856445, 8.655507028388064e-08
56, -2520.695051908493, 3, 6.137350783974398, 142, 13832, 38832, 11.11695671081543, 35.80921173095703, 1.3328857496905494e-07
57, 2330.1369829773903, 1, 7.321615208988078, 166, 13998, 38998, 11.559246063232422, 35.4468994140625, 1.0644568197698479e-07
58, -589.3670482635498, 5, 2.126847106963396, 45, 14043, 39043, 11.09115982055664, 34.55979919433594, 5.230436929398113e-07
59, -4514.039519548416, 2, 13.753249863046221, 322, 14365, 39365, 12.101826667785645, 35.85549545288086, 5.422350921616051e-08
60, -4021.7627251148224, 2, 15.139180423982907, 355, 14720, 39720, 11.751269340515137, 36.091331481933594, 5.6659173167927164e-08
61, -2602.4809396266937, 3, 6.519318651990034, 144, 14864, 39864, 11.062606811523438, 36.77275085449219, 1.207707908987585e-07
62, -2844.181787252426, 3, 6.53822945401771, 153, 15017, 40017, 12.024396896362305, 36.72211837768555, 1.2826799944627518e-07
63, -3897.9341933727264, 2, 14.940575554966927, 348, 15365, 40365, 11.553574562072754, 36.8004035949707, 5.438803406111125e-08
64, -2512.8713089227676, 3, 6.32241610303754, 141, 15506, 40506, 12.554840087890625, 37.32600402832031, 1.3770240008936705e-07
65, -2673.2838002443314, 3, 8.94774979603244, 206, 15712, 40712, 11.427388191223145, 37.380191802978516, 1.1358236062150557e-07
66, -3965.051914691925, 2, 12.534210427023936, 287, 15999, 40999, 11.607677459716797, 37.820709228515625, 1.3822291325453267e-07
67, -2449.257922768593, 3, 6.3398649339796975, 147, 16146, 41146, 11.659439086914062, 38.28124237060547, 2.237823221604435e-07
68, -3176.987750530243, 3, 9.92840240499936, 228, 16374, 41374, 11.840835571289062, 38.346439361572266, 2.1350876379169917e-07
69, -2728.7214294672012, 3, 9.32847851596307, 211, 16585, 41585, 11.189714431762695, 38.88593673706055, 1.128721028848847e-07
70, -2557.6746901273727, 3, 6.539713255013339, 150, 16735, 41735, 11.852262496948242, 38.68617630004883, 1.4201349889238677e-07
71, -3543.0203083753586, 3, 16.543054498033598, 377, 17112, 42112, 11.897429466247559, 38.89044189453125, 5.3352802319931416e-08
72, -2469.4070922136307, 3, 6.136252913973294, 139, 17251, 42251, 11.947294235229492, 40.09036636352539, 1.617913342101111e-07
73, -2665.062586545944, 3, 6.537226197018754, 143, 17394, 42394, 11.227850914001465, 39.33329772949219, 1.3723778961734337e-07
74, -3381.9957406520844, 2, 16.363605851016473, 380, 17774, 42774, 11.664240837097168, 39.927894592285156, 5.771044494682237e-08
75, -3059.30610203743, 3, 12.335280159022659, 281, 18055, 43055, 11.762690544128418, 40.192203521728516, 6.685760932778973e-08
76, -2751.8210818767548, 3, 9.12780199496774, 204, 18259, 43259, 11.36878490447998, 40.19044876098633, 8.764219077705753e-08
77, -4876.803701162338, 2, 16.364404233987443, 379, 18638, 43638, 11.577042579650879, 40.71800231933594, 5.5284991290292513e-08
78, 2286.0702872872353, 1, 7.53904586401768, 163, 18801, 43801, 11.209481239318848, 41.60952377319336, 1.3796929727119901e-07
79, -664.6375706195831, 5, 2.528114189975895, 45, 18846, 43846, 11.877270698547363, 41.869407653808594, 4.066219035949972e-07
80, -3293.5301702022552, 3, 10.747890623984858, 247, 19093, 44093, 11.543353080749512, 41.632381439208984, 8.030371318160281e-08
81, -2682.0017070770264, 3, 6.519178271992132, 144, 19237, 44237, 11.314315795898438, 41.53715896606445, 1.314373447611514e-07
82, -2569.3476870059967, 3, 6.138425527955405, 140, 19377, 44377, 11.460281372070312, 42.41493606567383, 1.401856674679688e-07
