episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -9939.638818979263, 2, 0, 1785, 2462, 27462, 2.420044422149658, 7.0278000831604
2, 1919.7649406194687, 1, 4, 468, 2930, 27930, 2.489304542541504, 7.14344596862793
3, -6905.835649251938, 2, -4, 920, 3850, 28850, 2.733859062194824, 7.242589950561523
4, -10046.226679801941, 2, 0, 1147, 4997, 29997, 2.6531128883361816, 7.505293846130371
5, -5027.201833248138, 2, 9, 921, 5918, 30918, 2.872446298599243, 7.798159122467041
6, -5525.333963632584, 2, -4, 585, 6503, 31503, 2.682577133178711, 7.865607261657715
7, -12444.111811161041, 2, -5, 2161, 8664, 33664, 2.858468770980835, 8.115349769592285
8, -4728.646137475967, 2, 0, 472, 9136, 34136, 2.8910391330718994, 8.474531173706055
9, -6923.802886843681, 2, 0, 1362, 10498, 35498, 3.032465934753418, 8.563239097595215
10, -6142.747502088547, 2, 0, 942, 11440, 36440, 2.9171946048736572, 8.797135353088379
11, -8728.639607906342, 2, 0, 1375, 12815, 37815, 3.074171781539917, 8.96610164642334
12, -9120.102212905884, 2, 14, 1430, 14245, 39245, 2.972784996032715, 9.25365924835205
13, -4311.371762871742, 2, -9, 571, 14816, 39816, 3.088871479034424, 9.438902854919434
14, -8472.691393852234, 2, -5, 1527, 16343, 41343, 3.090700387954712, 9.530963897705078
15, -12051.783740282059, 2, 0, 1383, 17726, 42726, 3.186361312866211, 9.825569152832031
16, -4906.752072572708, 2, 0, 907, 18633, 43633, 2.950040102005005, 10.007328987121582
17, -4765.028977036476, 2, 0, 898, 19531, 44531, 3.247770309448242, 10.167285919189453
18, -10956.555063962936, 2, 0, 1871, 21402, 46402, 3.3002755641937256, 10.342498779296875
19, -4322.61465793848, 3, 0, 1093, 22495, 47495, 3.273834228515625, 10.614082336425781
20, -9116.903534889221, 2, 0, 1533, 24028, 49028, 3.2287914752960205, 10.718071937561035
21, -6155.59990978241, 2, 0, 888, 24916, 49916, 3.514141082763672, 10.98287296295166
22, -8952.934215784073, 2, 0, 1410, 26326, 51326, 3.3040122985839844, 11.217896461486816
23, -9451.301025390625, 2, 0, 1500, 27826, 52826, 3.2555179595947266, 11.597286224365234
24, -8898.576613426208, 2, 0, 1413, 29239, 54239, 3.216425657272339, 11.932476997375488
25, 2079.399421274662, 1, 4, 411, 29650, 54650, 3.4920711517333984, 12.168771743774414
26, -11261.117805242538, 2, 15, 1462, 31112, 56112, 3.3067855834960938, 12.321187973022461
27, -5980.532886981964, 2, -19, 888, 32000, 57000, 3.465979814529419, 12.584687232971191
28, -13082.294674396515, 2, 16, 1621, 33621, 58621, 3.504149913787842, 12.775927543640137
29, -6360.741096496582, 2, -16, 933, 34554, 59554, 3.3355295658111572, 13.101496696472168
30, -6140.15765953064, 2, 9, 898, 35452, 60452, 3.4998114109039307, 13.312029838562012
31, -6481.890765428543, 2, -9, 1318, 36770, 61770, 3.561220645904541, 13.469502449035645
32, -6321.035943746567, 2, 0, 929, 37699, 62699, 3.5856363773345947, 13.676344871520996
33, -7167.717774391174, 2, 0, 1331, 39030, 64030, 3.6046385765075684, 13.839982032775879
