episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
6801, 2480.0474115610123, 1, 2, 17, 696609, 721609, 72.63523864746094, 316.23614501953125
6802, -2661.280493617058, 3, 16, 169, 696778, 721778, 68.78111267089844, 333.61865234375
6803, 1550.6433922052383, 1, 17, 353, 697131, 722131, 69.08007049560547, 333.5614013671875
6804, 1601.6663995683193, 1, 41, 398, 697529, 722529, 69.07532501220703, 333.1277770996094
6805, -3585.9015321731567, 3, 40, 407, 697936, 722936, 69.35540771484375, 333.7898254394531
6806, 2285.865394115448, 1, -105, 126, 698062, 723062, 66.89947509765625, 334.31268310546875
6807, 1715.880171239376, 1, 33, 327, 698389, 723389, 68.8275146484375, 333.832275390625
6808, 2067.2898735404015, 1, 18, 155, 698544, 723544, 70.06578063964844, 334.6813049316406
6809, -2470.25142121315, 3, 11, 105, 698649, 723649, 69.10786437988281, 332.958251953125
6810, 2272.4088057875633, 1, -63, 110, 698759, 723759, 68.74312591552734, 334.3036804199219
6811, -2437.0752103328705, 3, -10, 52, 698811, 723811, 71.80204010009766, 333.7942810058594
6812, 2375.7132347226143, 1, 5, 59, 698870, 723870, 68.76561737060547, 333.4483337402344
6813, 1727.440438091755, 1, 26, 257, 699127, 724127, 68.7935791015625, 334.09271240234375
6814, 2423.4126721322536, 1, 8, 64, 699191, 724191, 69.37496948242188, 332.81671142578125
6815, 1113.151228517294, 1, 65, 539, 699730, 724730, 67.98328399658203, 333.97247314453125
6816, -2381.211813867092, 4, -104, 756, 700486, 725486, 68.69021606445312, 334.03607177734375
6817, -3004.2854384183884, 3, 23, 229, 700715, 725715, 67.73471069335938, 333.7402648925781
6818, 2183.6936982274055, 1, -4, 191, 700906, 725906, 69.33304595947266, 333.870361328125
6819, 1027.8858287334442, 1, 57, 545, 701451, 726451, 69.57919311523438, 334.12506103515625
6820, 1849.1697991490364, 1, 32, 156, 701607, 726607, 68.25618743896484, 335.5452575683594
6821, -2299.742982506752, 3, -108, 70, 701677, 726677, 70.69320678710938, 336.01519775390625
6822, 1858.3639816641808, 1, 38, 221, 701898, 726898, 66.68397521972656, 333.7348937988281
6823, 2022.1531501859426, 1, 37, 207, 702105, 727105, 68.69938659667969, 334.5155944824219
6824, -2285.861967563629, 3, 11, 59, 702164, 727164, 70.2958984375, 334.94757080078125
6825, -2550.435739696026, 3, -86, 132, 702296, 727296, 69.24516296386719, 335.5950012207031
6826, 2276.019977092743, 1, 15, 88, 702384, 727384, 69.79156494140625, 335.47381591796875
6827, 2168.206090390682, 1, 22, 126, 702510, 727510, 69.33197784423828, 335.3717041015625
6828, 2031.7911407351494, 1, 41, 228, 702738, 727738, 69.4399642944336, 334.9835205078125
6829, 2267.7309960722923, 1, 21, 118, 702856, 727856, 69.57819366455078, 334.114013671875
6830, -1573.8294974565506, 4, 80, 450, 703306, 728306, 68.80196380615234, 335.38214111328125
6831, 1758.7177428007126, 1, -127, 297, 703603, 728603, 69.04796600341797, 335.42523193359375
6832, 2307.933571577072, 1, 25, 146, 703749, 728749, 70.22882843017578, 334.8447570800781
6833, 2211.9100203812122, 1, 23, 128, 703877, 728877, 69.83697509765625, 334.8171081542969
6834, 2323.704831600189, 1, 12, 69, 703946, 728946, 69.52790832519531, 337.10333251953125
6835, 1606.1841778159142, 1, 57, 335, 704281, 729281, 69.02505493164062, 335.48590087890625
6836, 2096.6088249385357, 1, 23, 128, 704409, 729409, 69.51213836669922, 334.3052978515625
6837, -2598.2005071640015, 3, 17, 99, 704508, 729508, 66.49559783935547, 334.3526916503906
6838, -2240.3928252458572, 3, -201, 48, 704556, 729556, 66.84345245361328, 335.8652038574219
6839, -3693.3247479200363, 3, -8, 434, 704990, 729990, 67.85618591308594, 334.3990173339844
6840, 2312.8901158571243, 1, 11, 66, 705056, 730056, 70.23870849609375, 335.01885986328125
6841, -2346.841080188751, 3, 15, 85, 705141, 730141, 68.54899597167969, 335.22479248046875
6842, 2430.73491948843, 1, -19, 44, 705185, 730185, 68.8859634399414, 333.54296875
6843, 1558.6228438913822, 1, 57, 314, 705499, 730499, 68.06410217285156, 334.7994079589844
6844, 1834.0281658172607, 1, 19, 106, 705605, 730605, 67.02346801757812, 334.4673767089844
6845, 1868.6802329421043, 1, 41, 214, 705819, 730819, 69.42691040039062, 335.6658020019531
6846, 2390.2497178912163, 1, 13, 66, 705885, 730885, 71.4910888671875, 336.88946533203125
6847, -2688.1553797721863, 3, -137, 179, 706064, 731064, 68.96511840820312, 336.3533630371094
6848, 2225.2165147811174, 1, 18, 103, 706167, 731167, 68.91399383544922, 335.0970764160156
6849, -2401.672624230385, 3, 5, 31, 706198, 731198, 68.48407745361328, 337.97332763671875
6850, 2307.1250824332237, 1, -7, 98, 706296, 731296, 72.61788177490234, 336.0116271972656
6851, 1233.122334241867, 1, 61, 432, 706728, 731728, 67.17953491210938, 335.0019226074219
6852, -1804.914847254753, 4, -77, 686, 707414, 732414, 68.56758117675781, 335.79107666015625
6853, 1678.5089356303215, 1, 41, 354, 707768, 732768, 67.72471618652344, 335.4017333984375
6854, -2736.148020505905, 3, 6, 50, 707818, 732818, 68.20128631591797, 337.4273376464844
6855, 2402.3500952124596, 1, -42, 48, 707866, 732866, 70.96097564697266, 335.2613830566406
6856, 2103.1110964417458, 1, 23, 205, 708071, 733071, 68.84944152832031, 334.9183349609375
6857, 1882.2181271612644, 1, 34, 334, 708405, 733405, 68.05322265625, 335.3450012207031
6858, -1855.4940295815468, 4, -62, 508, 708913, 733913, 68.26702117919922, 336.0534973144531
6859, 2353.084420979023, 1, 17, 93, 709006, 734006, 67.75639343261719, 335.3487548828125
6860, -1501.2049903273582, 4, -17, 447, 709453, 734453, 69.2492904663086, 336.34600830078125
6861, -2753.478215932846, 3, 0, 208, 709661, 734661, 67.96284484863281, 336.9550476074219
6862, -1740.7075478732586, 4, 80, 446, 710107, 735107, 68.18084716796875, 336.38250732421875
6863, 2161.4828724861145, 1, -49, 176, 710283, 735283, 70.85763549804688, 336.1601257324219
6864, -2454.501844763756, 3, -31, 41, 710324, 735324, 66.34095764160156, 335.81036376953125
6865, 2245.6162492632866, 1, 20, 113, 710437, 735437, 66.76598358154297, 335.86328125
6866, -1143.7684942483902, 4, -20, 445, 710882, 735882, 69.43547058105469, 336.4217834472656
6867, 2150.60258308053, 1, 27, 154, 711036, 736036, 68.60569763183594, 337.0549621582031
6868, 2279.735680282116, 1, 18, 102, 711138, 736138, 66.42083740234375, 336.5162658691406
6869, 2404.3565070331097, 1, 16, 91, 711229, 736229, 65.54341125488281, 336.3756103515625
6870, 1423.2791457176208, 1, 63, 353, 711582, 736582, 68.7105712890625, 336.3863220214844
6871, 1582.4445822536945, 1, 57, 308, 711890, 736890, 69.27758026123047, 336.6464538574219
6872, 1192.1864446401596, 1, 76, 413, 712303, 737303, 68.05818176269531, 337.49920654296875
6873, 1742.899337053299, 1, 52, 281, 712584, 737584, 68.85242462158203, 336.456298828125
6874, 2141.379668354988, 1, 35, 184, 712768, 737768, 67.97354888916016, 337.2912292480469
6875, 1351.5521475672722, 1, 32, 255, 713023, 738023, 68.7511978149414, 336.4934387207031
6876, 993.8675295710564, 1, 55, 480, 713503, 738503, 68.20186614990234, 336.6632995605469
6877, -1953.0376524925232, 4, -431, 713, 714216, 739216, 67.966552734375, 337.13702392578125
6878, -3295.787108063698, 3, 28, 272, 714488, 739488, 69.20990753173828, 337.7066955566406
6879, 2431.769059807062, 1, -24, 44, 714532, 739532, 67.82823944091797, 339.60443115234375
6880, 1532.304622799158, 1, 40, 363, 714895, 739895, 68.18132781982422, 336.85235595703125
6881, 2258.4382821917534, 1, 14, 132, 715027, 740027, 67.99836730957031, 336.43603515625
6882, 2126.2304980754852, 1, 18, 175, 715202, 740202, 68.42923736572266, 337.3027038574219
6883, -4121.822885394096, 3, 41, 377, 715579, 740579, 68.11942291259766, 337.3045654296875
6884, 2361.376005291939, 1, -111, 64, 715643, 740643, 70.32262420654297, 338.65313720703125
6885, 1909.6125642061234, 1, 27, 230, 715873, 740873, 69.41889953613281, 337.2512512207031
6886, -2345.1234172582626, 3, 11, 101, 715974, 740974, 68.07381439208984, 337.44512939453125
6887, 2359.5005251169205, 1, -38, 59, 716033, 741033, 70.34354400634766, 340.1408386230469
6888, 1653.5421350002289, 1, 31, 287, 716320, 741320, 68.42394256591797, 337.61273193359375
6889, 1931.8434393405914, 1, 35, 315, 716635, 741635, 66.19804382324219, 338.32952880859375
6890, 1649.4101172685623, 1, 45, 430, 717065, 742065, 67.13269805908203, 337.4642028808594
6891, 1797.0704458355904, 1, 27, 249, 717314, 742314, 68.3218765258789, 337.5664978027344
6892, 1511.0198073387146, 1, 38, 354, 717668, 742668, 67.80270385742188, 337.602294921875
6893, -2398.0273666381836, 3, -182, 16, 717684, 742684, 69.37696838378906, 334.6669921875
6894, 2086.7266348600388, 1, 17, 159, 717843, 742843, 67.79857635498047, 337.28509521484375
6895, 1365.3436393141747, 1, 33, 316, 718159, 743159, 68.41519927978516, 338.3964538574219
6896, -2933.2867546081543, 3, -50, 217, 718376, 743376, 67.29981231689453, 338.16204833984375
6897, 1950.9402250647545, 1, 26, 239, 718615, 743615, 66.67173767089844, 338.784912109375
6898, 2203.977727651596, 1, 19, 178, 718793, 743793, 68.44300079345703, 338.0890197753906
6899, 1826.930112183094, 1, 31, 280, 719073, 744073, 67.56520080566406, 337.5652160644531
6900, -2531.622923731804, 3, 10, 92, 719165, 744165, 67.41446685791016, 340.14373779296875
6901, -2789.693190097809, 3, -86, 205, 719370, 744370, 68.3371810913086, 337.2156982421875
6902, 2364.9771461188793, 1, 10, 98, 719468, 744468, 69.90086364746094, 338.6111755371094
6903, -3070.35396528244, 3, -10, 356, 719824, 744824, 69.22333526611328, 338.1033935546875
6904, 1919.4417839050293, 1, 21, 212, 720036, 745036, 66.43643951416016, 338.204833984375
6905, 1846.5286186635494, 1, 31, 299, 720335, 745335, 66.73738861083984, 339.1308898925781
6906, -2340.9318430423737, 3, -52, 28, 720363, 745363, 69.08274841308594, 338.12567138671875
6907, 2122.3466503620148, 1, 22, 205, 720568, 745568, 66.83456420898438, 338.67413330078125
6908, 1816.4464248120785, 1, 36, 356, 720924, 745924, 68.7330551147461, 339.0199890136719
6909, 1926.290989279747, 1, 27, 272, 721196, 746196, 68.52789306640625, 338.4019470214844
6910, 1806.8650559484959, 1, 30, 277, 721473, 746473, 69.12377166748047, 338.6817932128906
6911, 1358.674668610096, 1, 49, 451, 721924, 746924, 68.51917266845703, 338.33428955078125
6912, -2570.518246650696, 3, -164, 123, 722047, 747047, 69.40845489501953, 340.52679443359375
6913, 2005.8516731858253, 1, 23, 230, 722277, 747277, 68.21774291992188, 339.00750732421875
6914, -3327.525105237961, 3, 50, 447, 722724, 747724, 67.81600952148438, 338.76995849609375
6915, 2221.7035767138004, 1, -54, 172, 722896, 747896, 67.26842498779297, 338.14288330078125
6916, -1641.515707373619, 4, -19, 734, 723630, 748630, 67.93382263183594, 338.9903869628906
6917, 2383.7678973078728, 1, 6, 57, 723687, 748687, 67.04485321044922, 339.4569091796875
6918, -2596.9328354001045, 3, 16, 144, 723831, 748831, 68.0797119140625, 338.484619140625
6919, 2043.6457859873772, 1, 1, 218, 724049, 749049, 66.52369689941406, 337.7048034667969
6920, -3186.3856886029243, 3, 44, 398, 724447, 749447, 68.6599349975586, 339.07501220703125
6921, -3694.0662343502045, 3, -67, 400, 724847, 749847, 65.85577392578125, 338.8851623535156
6922, 2291.747858941555, 1, 13, 126, 724973, 749973, 68.73438262939453, 338.0636901855469
6923, -2992.472963809967, 3, 35, 311, 725284, 750284, 67.76964569091797, 339.3243713378906
6924, 2040.709157437086, 1, -26, 215, 725499, 750499, 67.10425567626953, 338.85791015625
6925, 1232.8141327500343, 1, 50, 438, 725937, 750937, 67.20430755615234, 340.51470947265625
6926, 1624.1718866229057, 1, 42, 383, 726320, 751320, 66.03263092041016, 339.1021423339844
6927, 1733.6611506342888, 1, 30, 253, 726573, 751573, 68.02369689941406, 340.2049255371094
6928, 2132.2378618121147, 1, 22, 188, 726761, 751761, 67.66675567626953, 339.550048828125
6929, -2554.4606195688248, 3, 11, 91, 726852, 751852, 67.62214660644531, 340.3049621582031
6930, 2352.963368356228, 1, -167, 88, 726940, 751940, 68.20801544189453, 341.4427795410156
6931, -2754.4289580583572, 3, -10, 218, 727158, 752158, 66.20103454589844, 340.1671142578125
6932, 1454.194584697485, 1, 46, 393, 727551, 752551, 66.94454193115234, 339.1169738769531
6933, -3324.2576491832733, 3, -46, 284, 727835, 752835, 65.93172454833984, 340.2116394042969
6934, 1935.6865464448929, 1, 27, 244, 728079, 753079, 66.15252685546875, 339.5335693359375
6935, 1914.0060222148895, 1, 29, 252, 728331, 753331, 66.65243530273438, 339.8648681640625
6936, 1894.5004054307938, 1, 31, 263, 728594, 753594, 66.79679870605469, 340.1614990234375
6937, -2501.7822681069374, 3, 15, 123, 728717, 753717, 65.22625732421875, 339.9570007324219
6938, 1444.2368630468845, 1, -53, 377, 729094, 754094, 67.34490203857422, 339.6505432128906
6939, 1677.969751149416, 1, 36, 285, 729379, 754379, 67.00799560546875, 341.2658386230469
6940, 1758.581724703312, 1, 40, 298, 729677, 754677, 66.96705627441406, 340.2345886230469
6941, 1687.1005609035492, 1, 24, 190, 729867, 754867, 65.96434020996094, 340.0543518066406
6942, 2164.399703234434, 1, 25, 188, 730055, 755055, 67.05583953857422, 340.4836120605469
6943, 2319.7377146482468, 1, 13, 98, 730153, 755153, 65.27113342285156, 338.7080383300781
6944, -3895.15998595953, 3, 74, 540, 730693, 755693, 67.65013122558594, 340.6413269042969
6945, 1556.5781389474869, 1, -222, 288, 730981, 755981, 67.37649536132812, 340.42999267578125
6946, 2093.7137306928635, 1, 27, 201, 731182, 756182, 65.28604888916016, 339.7278747558594
6947, 1552.9890784472227, 1, 50, 361, 731543, 756543, 68.77081298828125, 340.9732971191406
6948, 2380.2191870212555, 1, 9, 60, 731603, 756603, 69.17232513427734, 341.6087951660156
6949, 2265.42426019907, 1, 18, 135, 731738, 756738, 66.73513793945312, 341.2458801269531
6950, -2847.7313988804817, 3, -143, 199, 731937, 756937, 65.37152099609375, 340.7900695800781
6951, 2321.7444149255753, 1, 13, 104, 732041, 757041, 68.62773132324219, 340.4173278808594
6952, -2883.329087972641, 3, -13, 273, 732314, 757314, 66.60053253173828, 340.9645690917969
6953, 1985.594351530075, 1, 33, 242, 732556, 757556, 67.06932830810547, 340.58758544921875
6954, 1926.0235042572021, 1, 33, 239, 732795, 757795, 66.43633270263672, 341.259033203125
6955, 2295.7702336907387, 1, 16, 118, 732913, 757913, 67.60646057128906, 340.9724426269531
6956, -2476.3836072683334, 3, 18, 132, 733045, 758045, 67.04024505615234, 339.7643737792969
6957, 2386.5302158892155, 1, -90, 80, 733125, 758125, 67.32182312011719, 339.64556884765625
6958, 933.8344043493271, 1, 69, 480, 733605, 758605, 67.70218658447266, 341.69866943359375
6959, 1891.8422003388405, 1, 33, 229, 733834, 758834, 66.71818542480469, 340.7294616699219
6960, -2276.4457693099976, 3, 2, 15, 733849, 758849, 70.04462432861328, 340.3289489746094
6961, 1347.2762452960014, 1, -63, 391, 734240, 759240, 67.53645324707031, 341.5473937988281
6962, 2147.507870733738, 1, 21, 169, 734409, 759409, 67.77214050292969, 341.18212890625
6963, 2338.1652849316597, 1, 9, 72, 734481, 759481, 64.47716522216797, 341.9947204589844
6964, 244.40846914052963, 1, 64, 534, 735015, 760015, 66.35816192626953, 341.6595153808594
6965, 2219.0167438983917, 1, 23, 170, 735185, 760185, 67.59214782714844, 341.1064453125
6966, -2322.787368774414, 3, 2, 15, 735200, 760200, 68.3371353149414, 339.90838623046875
6967, 1227.9774146080017, 1, -112, 443, 735643, 760643, 66.98907470703125, 341.1480407714844
6968, 1529.0951682329178, 1, 54, 402, 736045, 761045, 67.15962982177734, 341.9115295410156
6969, 1645.1934277415276, 1, 41, 311, 736356, 761356, 66.66566467285156, 341.5748596191406
6970, 1211.6699553132057, 1, 66, 538, 736894, 761894, 68.3153305053711, 341.74957275390625
6971, 1958.7116814255714, 1, 26, 221, 737115, 762115, 65.88290405273438, 341.2312316894531
6972, -2671.345515847206, 3, 21, 176, 737291, 762291, 66.39167022705078, 341.4642333984375
