episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2908.5456988811493, 2, 19, 151, 322, 25322, 19.962583541870117, 38.12982940673828
2, -2554.420456290245, 2, -19, 52, 374, 25374, 20.039226531982422, 40.68094253540039
3, 1985.5953958034515, 1, 15, 123, 497, 25497, 20.9467830657959, 40.03354263305664
4, -2325.0655794143677, 3, -15, 15, 512, 25512, 19.685728073120117, 35.86703872680664
5, -2318.292440056801, 2, 0, 39, 551, 25551, 20.77052879333496, 37.64933395385742
6, -2573.4062081575394, 2, 0, 50, 601, 25601, 22.769758224487305, 39.2265739440918
7, -6087.2154841423035, 2, 57, 453, 1054, 26054, 20.7497501373291, 40.339508056640625
8, -4228.053557693958, 2, -57, 439, 1493, 26493, 21.165414810180664, 41.333770751953125
9, -2872.724170446396, 2, 15, 121, 1614, 26614, 21.00298500061035, 42.46044158935547
10, -2801.732736349106, 3, -15, 122, 1736, 26736, 21.5580997467041, 41.73086929321289
11, -2512.4441027641296, 2, 15, 117, 1853, 26853, 20.625822067260742, 42.52968978881836
12, -2310.3371381759644, 2, -15, 74, 1927, 26927, 20.155254364013672, 40.888633728027344
13, -2340.9867041110992, 2, 4, 37, 1964, 26964, 21.332733154296875, 42.809852600097656
14, -2328.165189266205, 2, -4, 62, 2026, 27026, 19.96676254272461, 42.25338363647461
15, 2451.823376953602, 1, 4, 35, 2061, 27061, 22.408292770385742, 43.16815948486328
16, -2216.8027737140656, 2, -4, 17, 2078, 27078, 19.58294677734375, 41.219573974609375
17, -2261.488576889038, 2, 7, 59, 2137, 27137, 19.552152633666992, 41.54072952270508
18, -3018.9090878367424, 2, -7, 152, 2289, 27289, 21.40170669555664, 43.622127532958984
19, -2431.536491751671, 2, 6, 50, 2339, 27339, 20.634021759033203, 44.38007354736328
20, -2804.542564034462, 2, -6, 124, 2463, 27463, 21.578310012817383, 44.217403411865234
21, -2305.832458972931, 2, 5, 43, 2506, 27506, 20.349308013916016, 45.25748062133789
22, -2331.5135946273804, 2, -5, 41, 2547, 27547, 22.649904251098633, 44.6148681640625
23, -2322.730162382126, 2, 0, 49, 2596, 27596, 19.422861099243164, 43.121829986572266
24, -2656.956230163574, 2, 19, 157, 2753, 27753, 21.847671508789062, 45.034934997558594
25, -2507.13946557045, 2, -19, 46, 2799, 27799, 21.48276138305664, 44.39544677734375
26, -2351.2521114349365, 2, 5, 46, 2845, 27845, 24.6768798828125, 45.00925064086914
27, -5189.8285529613495, 2, -5, 449, 3294, 28294, 21.59370994567871, 45.965576171875
28, -2451.9678168296814, 2, 6, 50, 3344, 28344, 23.753223419189453, 47.317264556884766
29, -2760.863399863243, 2, -6, 174, 3518, 28518, 22.06022071838379, 47.27338790893555
30, -2420.3725929260254, 2, 0, 82, 3600, 28600, 23.365949630737305, 46.96985626220703
31, -2283.5756204128265, 2, 0, 53, 3653, 28653, 20.41423988342285, 46.76182174682617
32, 2463.08740901947, 1, 4, 35, 3688, 28688, 21.55480194091797, 45.1723747253418
33, -2282.3835802078247, 3, -4, 57, 3745, 28745, 21.33518409729004, 47.402774810791016
34, -2337.1810715198517, 2, 0, 71, 3816, 28816, 21.632978439331055, 47.522701263427734
35, -2357.4015095233917, 2, 0, 47, 3863, 28863, 20.59610939025879, 47.14211654663086
36, -3909.7598073482513, 3, 24, 189, 4052, 29052, 22.184917449951172, 48.38612365722656
37, -2547.5382800102234, 2, -19, 46, 4098, 29098, 23.746458053588867, 48.5484619140625
38, -3953.4867520332336, 3, -5, 147, 4245, 29245, 23.321704864501953, 50.48676300048828
39, -2298.056225538254, 2, 0, 43, 4288, 29288, 21.714887619018555, 51.726097106933594
40, -2354.0041831731796, 3, 10, 84, 4372, 29372, 23.295150756835938, 50.32019805908203
41, -4079.0231906175613, 2, 3, 109, 4481, 29481, 23.25063133239746, 51.15567398071289
42, -2791.950934410095, 2, -13, 64, 4545, 29545, 25.31986427307129, 52.9966926574707
43, -11069.388557434082, 2, 0, 502, 5047, 30047, 24.927223205566406, 56.52524948120117
44, -2310.1284524202347, 2, 5, 44, 5091, 30091, 25.055274963378906, 64.413330078125
45, -3996.865503311157, 3, -5, 369, 5460, 30460, 26.051483154296875, 66.13179779052734
46, -3010.4306609630585, 2, 0, 167, 5627, 30627, 25.110185623168945, 66.30012512207031
47, -2334.683669567108, 3, 0, 100, 5727, 30727, 25.055490493774414, 64.53767395019531
48, -2254.6208671331406, 2, 0, 81, 5808, 30808, 25.73765754699707, 66.1113510131836
49, -3644.6779420375824, 2, 0, 371, 6179, 31179, 25.343799591064453, 66.16487121582031
50, -2404.923381090164, 2, 0, 56, 6235, 31235, 26.88450813293457, 65.85762786865234
51, -3684.325691998005, 3, 0, 224, 6459, 31459, 25.388103485107422, 67.56105041503906
52, -2593.0625369548798, 2, 11, 89, 6548, 31548, 25.075870513916016, 68.2721176147461
53, -2537.668041706085, 3, -11, 88, 6636, 31636, 26.151084899902344, 68.67922973632812
54, -2250.3396418094635, 2, 5, 44, 6680, 31680, 25.9621524810791, 66.4105224609375
55, -3001.656312286854, 3, -5, 125, 6805, 31805, 25.423599243164062, 69.39019775390625
56, -2271.233635544777, 2, 0, 62, 6867, 31867, 25.234230041503906, 69.43592071533203
57, -2196.795923233032, 2, 5, 43, 6910, 31910, 24.464244842529297, 67.544189453125
58, -4128.615303277969, 2, 28, 263, 7173, 32173, 24.652206420898438, 68.8118896484375
59, -3622.1862137317657, 3, -33, 246, 7419, 32419, 24.944595336914062, 70.57300567626953
60, -2272.8899161815643, 2, 0, 45, 7464, 32464, 24.7071475982666, 71.72636413574219
61, -3072.589634180069, 3, 0, 121, 7585, 32585, 24.821693420410156, 72.07746124267578
