episode, reward, duration, n_steps, noise_sigma, success_count, memory length
1, 212.3487881924957, 19.680896997451782, 305, 0.99, 0, 304
2, -887.8347050010925, 65.38222146034241, 498, 0.99, 0, 801
3, -842.2669800147414, 71.69016098976135, 498, 0.99, 0, 1298
4, -1345.0805947701447, 61.677117347717285, 498, 0.99, 0, 1795
5, -1326.4728840589523, 60.08573865890503, 498, 0.99, 0, 2292
6, -1041.2732355268672, 59.13241744041443, 498, 0.99, 0, 2789
7, -1324.4551279721782, 59.37901854515076, 498, 0.99, 0, 3286
8, -1270.3264010408893, 60.998570680618286, 498, 0.99, 0, 3783
9, -1219.1555749438703, 59.8095498085022, 498, 0.99, 0, 4280
10, -1219.4038234176114, 60.72010135650635, 498, 0.99, 0, 4777
11, -1418.3732443016488, 60.703824520111084, 498, 0.99, 0, 5274
12, -1336.05128217116, 60.35855507850647, 498, 0.99, 0, 5771
13, -1321.7767530549318, 59.941529273986816, 498, 0.99, 0, 6268
14, -1350.2307045189664, 58.98537874221802, 498, 0.99, 0, 6765
15, -1342.1848264737055, 58.21554350852966, 498, 0.99, 0, 7262
16, -1154.165190687403, 59.13368844985962, 498, 0.99, 0, 7759
17, -1329.8554790392518, 43.01707434654236, 498, 0.99, 0, 8256
18, -1321.430985417217, 41.98577833175659, 498, 0.99, 0, 8753
19, -1328.927181629464, 41.80643844604492, 498, 0.99, 0, 9250
20, -1366.4677852345776, 42.24074625968933, 498, 0.99, 0, 9747
21, -1319.0846673459746, 41.8552770614624, 498, 0.99, 0, 10244
22, -1354.6046407222748, 41.84101939201355, 498, 0.99, 0, 10741
23, -1226.4424808183685, 41.29357147216797, 498, 0.99, 0, 11238
24, -1403.2517776619643, 41.88778042793274, 498, 0.99, 0, 11735
25, -1283.4127564127557, 41.409592151641846, 498, 0.99, 0, 12232
26, -1387.050603163545, 41.3958466053009, 498, 0.99, 0, 12729
27, -1308.040820458904, 40.93593192100525, 498, 0.99, 0, 13226
28, -1274.697066346649, 40.265724897384644, 498, 0.99, 0, 13723
29, -1330.862098781392, 40.09841251373291, 498, 0.99, 0, 14220
30, -1282.8918252894655, 40.16856241226196, 498, 0.99, 0, 14717
31, -1352.9583395272493, 40.10808038711548, 498, 0.99, 0, 15214
32, -1320.733656881377, 39.82192659378052, 498, 0.99, 0, 15711
33, -1189.1053578481078, 40.13377118110657, 498, 0.99, 0, 16208
34, -1191.9984378558001, 39.960310220718384, 498, 0.99, 0, 16705
35, -1405.83489359729, 40.76829290390015, 498, 0.99, 0, 17202
36, -1311.109511082992, 40.50122356414795, 498, 0.99, 0, 17699
37, -1359.2302744544868, 39.94391489028931, 498, 0.99, 0, 18196
38, -1308.3812563484535, 40.14545154571533, 498, 0.99, 0, 18693
39, -298.68993448093534, 25.44636297225952, 312, 0.99, 0, 19004
40, -1381.6345946416259, 40.45555877685547, 498, 0.99, 0, 19501
41, -1310.7238622324076, 41.21548008918762, 498, 0.99, 0, 19998
42, -1416.891165483743, 41.589245557785034, 498, 0.99, 0, 20495
43, -1326.8958656601608, 40.777188777923584, 498, 0.99, 0, 20992
44, -1404.1815525745042, 41.297507524490356, 498, 0.99, 0, 21489
45, -1364.155318074394, 41.76627564430237, 498, 0.99, 0, 21986
46, -1328.4503002385609, 41.72140121459961, 498, 0.99, 0, 22483
47, -1317.6252700090408, 41.38695430755615, 498, 0.99, 0, 22980
48, -1370.9998197294772, 41.51305866241455, 498, 0.99, 0, 23477
49, -1393.5909378337674, 42.76080799102783, 498, 0.99, 0, 23974
50, -1284.316658402793, 41.68003964424133, 498, 0.99, 0, 24471
51, -1340.9607859100215, 41.577738523483276, 498, 0.99, 0, 24968
52, -745.8338234000839, 41.76497268676758, 498, 0.99, 0, 25465
53, -774.3087856973871, 42.42351055145264, 498, 0.99, 0, 25962
54, -748.9776612881105, 41.29333257675171, 498, 0.99, 0, 26459
55, -904.2247766871005, 42.16691827774048, 498, 0.99, 0, 26956
56, -572.7598589253612, 41.88453483581543, 498, 0.99, 0, 27453
57, -729.5649855724478, 40.85346817970276, 498, 0.99, 0, 27950
58, -944.6290957451565, 41.06228041648865, 498, 0.99, 0, 28447
59, -800.459357945947, 41.521575927734375, 498, 0.99, 0, 28944
60, -716.0723929512314, 42.24861168861389, 498, 0.99, 0, 29441
61, -806.3781933588907, 42.06002163887024, 498, 0.99, 0, 29938
62, -883.4982125108363, 42.12642025947571, 498, 0.99, 0, 30435
63, -49.796196341048926, 25.41952919960022, 307, 0.99, 0, 30741
64, -834.7523855961626, 41.76817488670349, 498, 0.99, 0, 31238
65, -629.8168698118534, 41.23264122009277, 498, 0.99, 0, 31735
66, -691.6319401548244, 41.77993083000183, 498, 0.99, 0, 32232
67, -952.297647779691, 41.882869720458984, 498, 0.99, 0, 32729
68, -851.5910902727628, 42.46564173698425, 498, 0.99, 0, 33226
69, -646.6703808195889, 41.44540548324585, 498, 0.99, 0, 33723
70, -940.3568961247802, 41.98436760902405, 498, 0.99, 0, 34220
71, -847.7828151872382, 41.34991264343262, 498, 0.99, 0, 34717
72, -553.7543133376166, 41.14836025238037, 498, 0.99, 0, 35214
73, -721.597295474261, 40.420772314071655, 498, 0.99, 0, 35711
74, -634.4582658810541, 40.622557163238525, 498, 0.99, 0, 36208
75, -804.0957247968763, 40.73334240913391, 498, 0.99, 0, 36705
76, -576.6336922142655, 41.24235272407532, 498, 0.99, 0, 37202
77, -776.214971086185, 41.25235939025879, 498, 0.99, 0, 37699
78, -655.4033723778557, 40.683473110198975, 498, 0.99, 0, 38196
79, -780.4730601662886, 40.24842596054077, 498, 0.99, 0, 38693
80, -832.7337669073604, 40.62784934043884, 498, 0.99, 0, 39190
81, -662.8106376687065, 40.89137125015259, 498, 0.99, 0, 39687
82, -735.806244423613, 41.49891901016235, 498, 0.99, 0, 40184
83, -720.3734063729644, 41.69220042228699, 498, 0.99, 0, 40681
84, -817.4798462796025, 40.84229350090027, 498, 0.99, 0, 41178
85, -664.6431697853841, 41.031113386154175, 498, 0.99, 0, 41675
86, -917.7849781550467, 41.78567147254944, 498, 0.99, 0, 42172
87, -738.4298904261086, 42.98192071914673, 498, 0.99, 0, 42669
