episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
1, 11472.72034600377, True, 2.368403196334839, 216, 1.0, 0, 215, 0.7661861777305603, 122.31145477294922
2, -12530.014360249043, False, 13.10110354423523, 666, 0.999, 0, 880, 24.40669059753418, 180.3517303466797
3, -11212.736832634226, False, 15.547510862350464, 777, 0.998001, 0, 1656, 20.067007064819336, 464.7071533203125
4, -10238.28759581782, False, 6.44291353225708, 318, 0.997002999, 0, 1973, 17.32269287109375, 533.8678588867188
5, -11027.014142129803, False, 18.11628031730652, 877, 0.996005996001, 0, 2849, 18.002506256103516, 495.0583190917969
6, -11349.14921478182, False, 11.41073203086853, 563, 0.995009990004999, 0, 3411, 17.044588088989258, 608.4300537109375
7, -10600.471100193448, False, 10.80807638168335, 518, 0.994014980014994, 0, 3928, 19.85857582092285, 595.8994140625
8, -11542.258803614648, False, 11.92663860321045, 559, 0.993020965034979, 0, 4486, 18.962890625, 663.0707397460938
9, -10753.629586294992, False, 15.781398296356201, 756, 0.9920279440699441, 0, 5241, 16.56599235534668, 664.54345703125
10, -11380.996314045042, False, 7.843777418136597, 383, 0.9910359161258742, 0, 5623, 14.998664855957031, 660.8971557617188
11, -11043.85484683048, False, 5.643258571624756, 258, 0.9900448802097482, 0, 5880, 20.105182647705078, 726.53466796875
12, -10387.962608228903, False, 4.671951770782471, 220, 0.9890548353295385, 0, 6099, 18.302326202392578, 735.4840087890625
13, -10710.190557657857, False, 20.316241979599, 977, 0.988065780494209, 0, 7075, 19.193723678588867, 814.4481811523438
14, -10852.473722234368, False, 3.4105286598205566, 164, 0.9870777147137147, 0, 7238, 12.768438339233398, 976.9052124023438
15, -10274.117206158291, False, 10.997461318969727, 513, 0.986090636999001, 0, 7750, 19.22087287902832, 1009.966796875
16, -10990.902261674404, False, 6.933047771453857, 334, 0.9851045463620021, 0, 8083, 23.171327590942383, 1131.9793701171875
17, 12312.504214033484, True, 3.8625051975250244, 177, 0.98411944181564, 0, 8259, 20.978126525878906, 1130.6455078125
18, -10790.87156609731, False, 5.603386163711548, 265, 0.9831353223738244, 0, 8523, 21.226398468017578, 1148.7137451171875
19, -11118.532574951649, False, 11.647894382476807, 558, 0.9821521870514506, 0, 9080, 21.454153060913086, 1319.3665771484375
20, -10553.401870463043, False, 5.208405256271362, 243, 0.9811700348643991, 0, 9322, 20.940628051757812, 1380.2840576171875
21, -10871.928858876228, False, 4.800022840499878, 262, 0.9801888648295347, 0, 9583, 17.61211395263672, 1423.27392578125
22, -10527.15157296136, False, 5.01714563369751, 263, 0.9792086759647052, 0, 9845, 23.693912506103516, 1446.9893798828125
23, -10227.666526981775, False, 6.395381927490234, 349, 0.9782294672887405, 0, 10193, 22.83949851989746, 1436.15966796875
