episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
14001, 11644.766070127487, True, 1.693796157836914, 73, 0.04996170339735633, 0, 100000, 38.91048812866211, -227284.9375
14002, 9626.827649056911, True, 9.421695232391357, 446, 0.04996170339735633, 0, 100000, 37.58951187133789, -230840.15625
14003, 7711.749709870666, True, 17.43934392929077, 881, 0.04996170339735633, 0, 100000, 37.72353744506836, -230986.390625
14004, 6950.355885013938, True, 18.579471826553345, 947, 0.04996170339735633, 0, 100000, 36.88112258911133, -231909.140625
14005, 5705.591118365526, True, 14.115729808807373, 714, 0.04996170339735633, 0, 100000, 36.99958801269531, -230088.171875
14006, 8259.984341323376, True, 13.804404020309448, 679, 0.04996170339735633, 0, 100000, 36.24022674560547, -231612.09375
14007, 7930.747085517971, True, 12.567092418670654, 629, 0.04996170339735633, 0, 100000, 37.13887023925781, -232444.140625
14008, 6509.988481134176, True, 21.536632537841797, 1076, 0.04996170339735633, 0, 100000, 37.10145950317383, -231447.53125
14009, 6485.15349502489, True, 21.3772132396698, 1086, 0.04996170339735633, 0, 100000, 36.76206970214844, -229382.703125
14010, 5751.952207028866, True, 15.782341480255127, 779, 0.04996170339735633, 0, 100000, 36.4178466796875, -229724.53125
14011, 5550.126884588972, True, 20.044663667678833, 989, 0.04996170339735633, 0, 100000, 35.88475799560547, -228908.453125
14012, 6304.448824077845, True, 19.045727014541626, 946, 0.04996170339735633, 0, 100000, 36.65454864501953, -229193.546875
14013, 7271.176516454667, True, 14.825327634811401, 836, 0.04996170339735633, 0, 100000, 35.590721130371094, -228333.03125
14014, -12059.38084885478, False, 4.061367988586426, 221, 0.04996170339735633, 0, 100000, 35.443172454833984, -229494.359375
14015, 9530.797477915883, True, 9.038613319396973, 492, 0.04996170339735633, 0, 100000, 35.44239807128906, -226863.0625
14016, 6230.797900825739, True, 16.05027437210083, 904, 0.04996170339735633, 0, 100000, 36.43077087402344, -227257.609375
14017, -14329.53942334652, False, 6.174959182739258, 350, 0.04996170339735633, 0, 100000, 35.488590240478516, -226496.734375
14018, 5771.818645327352, True, 15.491671800613403, 869, 0.04996170339735633, 0, 100000, 36.0631217956543, -227786.9375
14019, 4216.898376598954, True, 20.893312215805054, 1219, 0.04996170339735633, 0, 100000, 36.1854362487793, -227380.21875
14020, 6374.556880430318, True, 19.395676136016846, 1106, 0.04996170339735633, 0, 100000, 35.909725189208984, -226533.734375
14021, -10844.936618089676, False, 1.4007349014282227, 69, 0.04996170339735633, 0, 100000, 33.589866638183594, -224430.71875
14022, 9346.010023002513, True, 9.565085411071777, 512, 0.04996170339735633, 0, 100000, 36.48140335083008, -226210.75
14023, 5350.967779323459, True, 15.576242923736572, 896, 0.04996170339735633, 0, 100000, 35.861167907714844, -227392.359375
14024, 3592.3980581462383, True, 21.691766023635864, 1251, 0.04996170339735633, 0, 100000, 36.27870559692383, -226197.4375
14025, 1265.9707899987698, True, 25.7631094455719, 1491, 0.04996170339735633, 0, 100000, 36.43447494506836, -225108.84375
14026, 8558.636401414871, True, 7.996255159378052, 447, 0.04996170339735633, 0, 100000, 37.76005554199219, -222980.78125
14027, 7032.739317849278, True, 17.39298152923584, 941, 0.04996170339735633, 0, 100000, 35.53171920776367, -224788.765625
14028, 5633.393148928881, True, 19.77235436439514, 1117, 0.04996170339735633, 0, 100000, 36.138671875, -222449.984375
14029, 9265.55887503177, True, 8.906578063964844, 499, 0.04996170339735633, 0, 100000, 36.52574157714844, -224042.484375
14030, 7802.541026055813, True, 15.104139566421509, 829, 0.04996170339735633, 0, 100000, 35.851715087890625, -223839.609375
