episode, reward, duration, n_steps, epsilon, success_count, memory length
1, 144.34400647878647, 1.2975027561187744, 122, 1.0, 1, 121
2, -559.2119867801666, 4.067220687866211, 341, 0.999, 1, 461
3, -534.6860083341599, 9.323999881744385, 833, 0.998001, 1, 1293
4, -1016.2123512625694, 8.696853160858154, 779, 0.997002999, 1, 2071
5, -1280.7761293053627, 9.821363687515259, 876, 0.996005996001, 1, 2946
6, -814.0989471971989, 4.950162172317505, 443, 0.995009990004999, 1, 3388
7, -939.3584767878056, 8.260156154632568, 741, 0.994014980014994, 1, 4128
8, -1371.2204197719693, 11.115210056304932, 991, 0.993020965034979, 1, 5118
9, -513.647087110654, 4.673643589019775, 419, 0.9920279440699441, 1, 5536
10, 116.38112697005272, 1.1735029220581055, 107, 0.9910359161258742, 2, 5642
11, -1002.5855687269941, 11.145825862884521, 1000, 0.9900448802097482, 2, 6641
12, -326.5617707474157, 9.992446184158325, 895, 0.9890548353295385, 455, 7535
13, -602.4946829080582, 5.152914047241211, 458, 0.988065780494209, 455, 7992
14, -670.3225184082985, 4.481415510177612, 403, 0.9870777147137147, 455, 8394
15, -615.8125228881836, 4.348633766174316, 389, 0.986090636999001, 455, 8782
16, -191.47454141447088, 4.761227369308472, 423, 0.9851045463620021, 455, 9204
17, -1588.8352908492088, 10.426234722137451, 925, 0.98411944181564, 455, 10128
18, -775.54858776927, 7.102072715759277, 637, 0.9831353223738244, 455, 10764
19, -404.6390818953514, 4.925393581390381, 439, 0.9821521870514506, 455, 11202
20, -1098.4700139164925, 8.518492221832275, 762, 0.9811700348643991, 455, 11963
21, -712.9589568376541, 6.094558477401733, 545, 0.9801888648295347, 455, 12507
22, -1183.6190430521965, 8.26179027557373, 730, 0.9792086759647052, 455, 13236
23, -284.6265736941132, 11.28125548362732, 1000, 0.9782294672887405, 455, 14235
24, -1551.578193694353, 10.308396339416504, 914, 0.9772512378214517, 455, 15148
25, -1172.2819730523042, 11.344927549362183, 1000, 0.9762739865836303, 455, 16147
26, -898.0972213149071, 8.667346954345703, 758, 0.9752977125970467, 455, 16904
27, -308.99709303863347, 5.3839967250823975, 477, 0.9743224148844496, 455, 17380
28, -361.9190843536053, 8.36667799949646, 736, 0.9733480924695651, 455, 18115
30, -1141.6988397240639, 8.010063171386719, 706, 0.9714023696327185, 455, 18820
31, 235.81588441878557, 4.697890758514404, 414, 0.9704309672630859, 569, 19233
32, -200.36789843440056, 0.8724234104156494, 78, 0.9694605362958227, 569, 19310
33, -1320.731436252594, 9.447355031967163, 830, 0.9684910757595269, 569, 20139
34, -1000.3181846141815, 8.387329339981079, 735, 0.9675225846837673, 569, 20873
35, -428.53417836746667, 8.684154510498047, 760, 0.9665550620990835, 569, 21632
36, -274.187275090153, 11.416186332702637, 1000, 0.9655885070369844, 725, 22631
37, -589.6995915435255, 7.0632102489471436, 624, 0.9646229185299474, 725, 23254
38, -557.5420343712904, 9.206651449203491, 810, 0.9636582956114175, 725, 24063
39, -1447.4912409186363, 11.176838397979736, 979, 0.9626946373158061, 725, 25041
40, -1039.4134933650494, 11.404278039932251, 1000, 0.9617319426784903, 725, 26040
41, -1058.5009052753448, 8.79158091545105, 770, 0.9607702107358118, 725, 26809
42, -1594.2669547200203, 8.99629831314087, 788, 0.959809440525076, 725, 27596
43, -71.89970236411318, 11.514079093933105, 1000, 0.9588496310845509, 957, 28595
44, -1187.8180344104767, 8.909743785858154, 784, 0.9578907814534664, 957, 29378
45, -1233.9290921092033, 10.1887526512146, 891, 0.9569328906720129, 957, 30268
46, -205.59674539929256, 4.658235549926758, 407, 0.9559759577813409, 957, 30674
47, -773.3213514942181, 11.418543100357056, 1000, 0.9550199818235596, 957, 31673
48, -1279.054571568966, 9.910885095596313, 861, 0.9540649618417361, 957, 32533
49, -524.6154099106789, 4.948057174682617, 433, 0.9531108968798944, 957, 32965
50, -517.9713894235902, 8.493230819702148, 744, 0.9521577859830145, 957, 33708
51, -966.7879737785552, 11.554977416992188, 1000, 0.9512056281970315, 957, 34707
52, -425.8249195739627, 11.536556959152222, 1000, 0.9502544225688344, 957, 35706
53, -1174.5818994492292, 10.166894674301147, 890, 0.9493041681462656, 957, 36595
54, -1084.0101975798607, 11.192500829696655, 980, 0.9483548639781193, 957, 37574
55, -765.7926116883755, 7.984224319458008, 693, 0.9474065091141411, 957, 38266
57, 165.50246127170976, 6.843796730041504, 596, 0.9455126435024219, 975, 38861
58, -505.64807283948176, 11.53217101097107, 1000, 0.9445671308589195, 975, 39860
59, 254.80324994027615, 4.904037952423096, 433, 0.9436225637280606, 1108, 40292
60, -787.1459699869156, 7.148970603942871, 632, 0.9426789411643326, 1108, 40923
61, -442.2515032659285, 4.796980142593384, 422, 0.9417362622231683, 1108, 41344
62, -133.7677839216194, 11.327066898345947, 1000, 0.9407945259609451, 1108, 42343
63, -385.2551179805305, 11.385225296020508, 1000, 0.9398537314349842, 1108, 43342
64, -653.9244390672538, 8.621043920516968, 754, 0.9389138777035492, 1108, 44095
65, -210.1526672244072, 13.411625385284424, 79, 0.9379749638258457, 1108, 44173
66, -163.63323774561286, 20.76157522201538, 125, 0.9370369888620198, 1108, 44297
67, -143.9273519217968, 9.43977665901184, 57, 0.9360999518731578, 1108, 44353
68, -140.04593348503113, 15.786349296569824, 94, 0.9351638519212846, 1108, 44446
69, -181.45581064373255, 11.291420459747314, 68, 0.9342286880693633, 1108, 44513
70, -234.80474030930782, 31.782830715179443, 189, 0.933294459381294, 1108, 44701
71, -131.86051500216126, 6.210817098617554, 38, 0.9323611649219127, 1108, 44738
72, -188.0310175474733, 16.661765575408936, 99, 0.9314288037569908, 1108, 44836
73, -120.15921405656263, 7.598419189453125, 46, 0.9304973749532338, 1108, 44881
74, -137.5484828054905, 5.268243074417114, 32, 0.9295668775782806, 1108, 44912
75, -201.46427613310516, 23.09630274772644, 137, 0.9286373107007023, 1108, 45048
76, -138.25236500287428, 20.810969591140747, 125, 0.9277086733900016, 1108, 45172
77, -137.70886713266373, 4.964741945266724, 30, 0.9267809647166116, 1108, 45201
78, -185.98455015569925, 15.196170806884766, 89, 0.925854183751895, 1108, 45289
79, -99.45086887478828, 5.9021031856536865, 36, 0.9249283295681431, 1108, 45324
80, 50.649516664096154, 4.060551404953003, 26, 0.9240034012385749, 1108, 45349
81, -253.89139290899038, 24.296245098114014, 152, 0.9230793978373364, 1108, 45500
82, 54.24856719374657, 1.6458652019500732, 11, 0.9221563184394991, 1108, 45510
83, -205.13572346325964, 22.431982040405273, 139, 0.9212341621210596, 1108, 45648
84, -130.51803587855102, 9.401573419570923, 59, 0.9203129279589385, 1108, 45706
85, 50.681982362642884, 3.526777982711792, 23, 0.9193926150309796, 1108, 45728
86, -131.5766811966896, 3.227985143661499, 21, 0.9184732224159486, 1108, 45748
87, -153.44482731819153, 7.442981719970703, 47, 0.9175547491935327, 1108, 45794
88, -150.03884501382709, 10.212549924850464, 64, 0.9166371944443392, 1108, 45857
89, -174.9273584689945, 14.80265474319458, 93, 0.9157205572498949, 1108, 45949
90, -221.192776536569, 20.148929357528687, 125, 0.914804836692645, 1108, 46073
91, -135.08569903601892, 10.124003648757935, 63, 0.9138900318559524, 1108, 46135
92, -251.83430342562497, 27.496760845184326, 170, 0.9129761418240965, 1108, 46304
93, 62.69734440324828, 6.167405605316162, 39, 0.9120631656822724, 1108, 46342
94, -200.3772059082985, 11.054925680160522, 69, 0.9111511025165902, 1108, 46410
95, -151.13474650494754, 9.471052169799805, 60, 0.9102399514140735, 1108, 46469
96, -239.89933330193162, 21.65160369873047, 135, 0.9093297114626595, 1108, 46603
97, -98.60761838406324, 6.527033090591431, 41, 0.9084203817511969, 1108, 46643
98, -288.8560311854817, 39.66639685630798, 246, 0.9075119613694457, 1108, 46888
99, 24.65501737059094, 8.725770473480225, 55, 0.9066044494080763, 1108, 46942
100, -157.62290134106297, 19.259599924087524, 120, 0.9056978449586682, 1108, 47061
101, -129.14974649995565, 20.19671869277954, 127, 0.9047921471137096, 1108, 47187
102, -196.3602662125486, 34.7688307762146, 215, 0.9038873549665959, 1108, 47401
103, 65.91884132102132, 10.124372959136963, 64, 0.9029834676116293, 1108, 47464
104, -134.73638025904074, 10.868988037109375, 67, 0.9020804841440176, 1108, 47530
105, -158.424791559577, 7.863231658935547, 50, 0.9011784036598737, 1108, 47579
106, -143.95748150348663, 5.544220447540283, 35, 0.9002772252562138, 1108, 47613
107, -214.58735444769263, 22.02225637435913, 139, 0.8993769480309576, 1108, 47751
108, -134.39101790450513, 6.976092100143433, 44, 0.8984775710829266, 1108, 47794
109, -227.76154719293118, 18.210329055786133, 113, 0.8975790935118436, 1108, 47906
110, 51.36528387106955, 2.8979873657226562, 19, 0.8966815144183318, 1108, 47924
111, -217.11785885691643, 11.300354480743408, 70, 0.8957848329039134, 1108, 47993
112, -205.83106285333633, 14.638067722320557, 91, 0.8948890480710096, 1108, 48083
113, -256.2929908366641, 33.6492862701416, 206, 0.8939941590229386, 1108, 48288
114, 51.34000885114074, 1.9931790828704834, 13, 0.8931001648639156, 1108, 48300
115, -204.2893374611158, 32.80446672439575, 202, 0.8922070646990518, 1108, 48501
116, -208.27903052046895, 20.573447465896606, 124, 0.8913148576343527, 1108, 48624
117, 30.482740983366966, 12.88601565361023, 79, 0.8904235427767183, 1108, 48702
118, -111.51114535331726, 0.5062143802642822, 4, 0.8895331192339416, 1108, 48705
119, -232.03109981119633, 19.772210359573364, 121, 0.8886435861147077, 1108, 48825
120, -140.30499042198062, 9.056113958358765, 55, 0.887754942528593, 1108, 48879
121, 37.46609412133694, 5.632725477218628, 35, 0.8868671875860644, 1108, 48913
122, 56.7201439877972, 4.043689489364624, 26, 0.8859803203984784, 1108, 48938
123, -184.33606368675828, 12.773903131484985, 80, 0.88509434007808, 1108, 49017
124, -213.229972013738, 25.5320942401886, 157, 0.8842092457380019, 1108, 49173
125, -117.38416295821662, 9.23982572555542, 56, 0.8833250364922639, 1108, 49228
126, -112.59836133313365, 4.94392466545105, 30, 0.8824417114557717, 1108, 49257
127, -187.76280534267426, 13.884320974349976, 84, 0.8815592697443159, 1108, 49340
128, -164.56399311870337, 8.713967084884644, 54, 0.8806777104745716, 1108, 49393
129, -187.02396880090237, 17.59329319000244, 107, 0.8797970327640969, 1108, 49499
130, -187.44987893709913, 13.899286985397339, 85, 0.8789172357313328, 1108, 49583
131, -235.00529165565968, 14.703330755233765, 92, 0.8780383184956015, 1108, 49674
132, -174.54783235490322, 10.425147294998169, 66, 0.8771602801771059, 1108, 49739
133, -183.43193564750254, 16.91795301437378, 106, 0.8762831198969288, 1108, 49844
134, -159.47421830892563, 7.3370866775512695, 46, 0.8754068367770318, 1108, 49889
135, -196.61919048428535, 10.001948833465576, 63, 0.8745314299402548, 1108, 49951
136, -134.80669631063938, 8.456265449523926, 53, 0.8736568985103146, 1108, 50003
137, -151.68947064876556, 6.189779996871948, 39, 0.8727832416118043, 1108, 50041
138, -178.377447783947, 9.81739854812622, 62, 0.8719104583701925, 1108, 50102
139, -163.96942182595376, 24.09403705596924, 150, 0.8710385479118223, 1108, 50251
140, -153.89709911614773, 10.234602451324463, 64, 0.8701675093639105, 1108, 50314
141, -148.56434250622988, 8.569124937057495, 54, 0.8692973418545467, 1108, 50367
142, 0.12429412454366684, 14.031174898147583, 88, 0.8684280445126921, 1108, 50454
143, -172.65868167206645, 15.712214231491089, 97, 0.8675596164681794, 1108, 50550
144, -141.3066893387586, 11.746789693832397, 73, 0.8666920568517111, 1108, 50622
145, -223.57536190123938, 25.568613052368164, 159, 0.8658253647948594, 1108, 50780
146, -197.2468124460429, 18.749226808547974, 116, 0.8649595394300645, 1108, 50895
147, 48.38751790858805, 4.359735012054443, 28, 0.8640945798906344, 1108, 50922
148, -174.72545274719596, 14.384265422821045, 89, 0.8632304853107438, 1108, 51010
149, -178.18684790097177, 15.938062906265259, 99, 0.862367254825433, 1108, 51108
150, -225.9640744626522, 18.00739550590515, 112, 0.8615048875706075, 1108, 51219
151, -232.3692002063617, 16.359962224960327, 102, 0.8606433826830369, 1108, 51320
152, -139.93334941682406, 20.044392585754395, 124, 0.8597827393003539, 1108, 51443
153, -168.18728041648865, 7.125030755996704, 45, 0.8589229565610536, 1108, 51487
154, -146.2853032751009, 12.52488374710083, 78, 0.8580640336044925, 1108, 51564
155, 64.30486477632076, 4.8438193798065186, 31, 0.857205969570888, 1108, 51594
156, -142.67198726721108, 10.01763105392456, 62, 0.8563487636013172, 1108, 51655
157, 64.82125183101743, 4.384228944778442, 28, 0.8554924148377159, 1108, 51682
158, -182.52115124464035, 11.999080657958984, 75, 0.8546369224228781, 1108, 51756
159, -158.40969498082995, 15.371993064880371, 96, 0.8537822855004553, 1108, 51851
160, -226.02454064786434, 15.286681652069092, 96, 0.8529285032149548, 1108, 51946
161, -200.07837632484734, 16.826674461364746, 105, 0.8520755747117399, 1108, 52050
162, -189.37960680853575, 17.447086334228516, 109, 0.8512234991370281, 1108, 52158
163, -143.6658826470375, 6.8822407722473145, 43, 0.8503722756378911, 1108, 52200
164, -112.686559189111, 6.6226561069488525, 42, 0.8495219033622532, 1108, 52241
165, -190.04336580634117, 10.185162544250488, 64, 0.8486723814588909, 1108, 52304
166, -114.15583171346225, 8.992767810821533, 57, 0.847823709077432, 1108, 52360
167, -117.79656117036939, 5.331151962280273, 34, 0.8469758853683546, 1108, 52393
168, -178.69701440120116, 14.629714727401733, 92, 0.8461289094829862, 1108, 52484
169, -168.47555662691593, 9.4027738571167, 59, 0.8452827805735033, 1108, 52542
170, -207.3956411536783, 19.44683861732483, 122, 0.8444374977929298, 1108, 52663
171, -147.91613727808, 6.087646961212158, 38, 0.8435930602951368, 1108, 52700
172, -267.72064682096243, 19.665384769439697, 121, 0.8427494672348417, 1108, 52820
173, 56.00986136496067, 2.0249361991882324, 13, 0.8419067177676068, 1108, 52832
174, -260.6962312015239, 35.212663412094116, 217, 0.8410648110498392, 1108, 53048
175, -138.09442833065987, 10.648895740509033, 66, 0.8402237462387894, 1108, 53113
176, 45.17180433869362, 2.9488093852996826, 19, 0.8393835224925505, 1108, 53131
177, -270.61265366338193, 24.81906509399414, 154, 0.838544138970058, 1108, 53284
178, -124.07194616552442, 12.951574325561523, 81, 0.8377055948310879, 1108, 53364
179, -121.87281153630465, 9.725589513778687, 61, 0.8368678892362568, 1108, 53424
180, -110.59769007842988, 7.029526948928833, 44, 0.8360310213470206, 1108, 53467
181, 60.40459679812193, 3.7066659927368164, 23, 0.8351949903256736, 1108, 53489
182, -114.65133929252625, 1.702117919921875, 11, 0.8343597953353479, 1108, 53499
183, -186.12590175075457, 20.714015245437622, 130, 0.8335254355400126, 1108, 53628
184, -183.25960029661655, 16.864598751068115, 106, 0.8326919101044725, 1108, 53733
185, 56.972241116687655, 8.65141248703003, 55, 0.831859218194368, 1108, 53787
186, -111.78208518028259, 0.6611316204071045, 5, 0.8310273589761736, 1108, 53791
187, -94.22269109310582, 9.697513103485107, 61, 0.8301963316171974, 1108, 53851
188, -153.33843809738755, 7.089781999588013, 45, 0.8293661352855802, 1108, 53895
189, -160.04184259474277, 8.705439329147339, 55, 0.8285367691502946, 1108, 53949
190, -213.970187793253, 18.57385754585266, 116, 0.8277082323811443, 1108, 54064
191, -204.1477091758279, 27.254817724227905, 169, 0.8268805241487632, 1108, 54232
192, -181.92292084917426, 17.94649338722229, 111, 0.8260536436246144, 1108, 54342
193, -165.88370621204376, 7.0992631912231445, 45, 0.8252275899809898, 1108, 54386
194, -254.16056576604024, 22.25564217567444, 138, 0.8244023623910088, 1108, 54523
195, 41.318075347691774, 7.988492488861084, 50, 0.8235779600286178, 1108, 54572
196, -93.22804422304034, 9.260095834732056, 58, 0.8227543820685892, 1108, 54629
197, -206.16157998517156, 23.17894434928894, 143, 0.8219316276865206, 1108, 54771
198, -162.6867726650089, 20.804965257644653, 128, 0.8211096960588341, 1108, 54898
199, -119.27868958376348, 16.521891117095947, 103, 0.8202885863627752, 1108, 55000
200, -140.5252737402916, 4.715514659881592, 30, 0.8194682977764125, 1108, 55029
201, -151.4518442749977, 5.248385667800903, 33, 0.818648829478636, 1108, 55061
202, -196.56245455145836, 13.453652381896973, 82, 0.8178301806491574, 1108, 55142
203, -180.5689632613212, 18.572490453720093, 114, 0.8170123504685082, 1108, 55255
204, -166.31078186631203, 11.857770204544067, 74, 0.8161953381180397, 1108, 55328
205, -163.0032047526911, 12.943745136260986, 81, 0.8153791427799216, 1108, 55408
206, -185.69930583890527, 13.792898178100586, 85, 0.8145637636371417, 1108, 55492
207, -188.10237942636013, 10.839914798736572, 68, 0.8137491998735046, 1108, 55559
208, -277.6115819439292, 25.669323921203613, 157, 0.812935450673631, 1108, 55715
209, -149.5004437416792, 15.157410621643066, 93, 0.8121225152229574, 1108, 55807
210, -143.62110181432217, 17.972173929214478, 110, 0.8113103927077344, 1108, 55916
211, -166.63962268829346, 10.241057634353638, 64, 0.8104990823150267, 1108, 55979
212, -215.83465403239825, 24.301079988479614, 149, 0.8096885832327116, 1108, 56127
213, -127.69254066981375, 16.578235864639282, 103, 0.8088788946494789, 1108, 56229
214, -168.3801881847903, 12.434672594070435, 76, 0.8080700157548294, 1108, 56304
215, -248.05391484498978, 25.11158299446106, 155, 0.8072619457390746, 1108, 56458
216, -124.55958345904946, 7.6383514404296875, 48, 0.8064546837933355, 1108, 56505
217, -198.2046586200595, 27.327457189559937, 170, 0.8056482291095421, 1108, 56674
218, -230.1643118218053, 25.876288890838623, 158, 0.8048425808804326, 1108, 56831
219, -113.05374893185217, 6.749583959579468, 42, 0.8040377382995522, 1108, 56872
220, -138.77462962642312, 10.147822856903076, 63, 0.8032337005612527, 1108, 56934
221, -103.7641162769869, 6.870033025741577, 43, 0.8024304668606914, 1108, 56976
222, -171.4443251490593, 8.933411598205566, 55, 0.8016280363938307, 1108, 57030
223, -137.02882227301598, 5.551592826843262, 34, 0.8008264083574369, 1108, 57063
224, -224.2421155795455, 32.69009852409363, 199, 0.8000255819490795, 1108, 57261
225, -230.57881154119968, 15.322218418121338, 92, 0.7992255563671304, 1108, 57352
226, 54.061936032027006, 5.466433763504028, 34, 0.7984263308107633, 1108, 57385
227, -161.65222463011742, 12.069501876831055, 75, 0.7976279044799526, 1108, 57459
228, -131.7477463397663, 11.947566986083984, 73, 0.7968302765754727, 1108, 57531
229, -219.64300573524088, 24.846486806869507, 152, 0.7960334462988972, 1108, 57682
230, -137.2500853133388, 10.064566612243652, 61, 0.7952374128525983, 1108, 57742
231, -184.30258081108332, 10.210899353027344, 63, 0.7944421754397457, 1108, 57804
232, -135.66429872065783, 6.060988426208496, 38, 0.7936477332643059, 1108, 57841
233, 56.4808743596077, 1.339473009109497, 9, 0.7928540855310416, 1108, 57849
234, -229.5074323490262, 16.94464349746704, 102, 0.7920612314455105, 1108, 57950
235, -135.35239269211888, 8.208024740219116, 51, 0.7912691702140651, 1108, 58000
236, -140.9055937062949, 10.606095790863037, 64, 0.790477901043851, 1108, 58063
237, -173.5142423431389, 36.04908347129822, 217, 0.7896874231428072, 1108, 58279
238, -185.51228326186538, 17.13507604598999, 102, 0.7888977357196644, 1108, 58380
239, -218.2791652334854, 30.094276666641235, 183, 0.7881088379839447, 1108, 58562
240, -186.48691451177, 19.774536609649658, 120, 0.7873207291459607, 1108, 58681
241, -312.2026076987386, 49.06087303161621, 298, 0.7865334084168147, 1108, 58978
242, -157.55599546432495, 9.19079065322876, 56, 0.7857468750083979, 1108, 59033
243, -116.20657318457961, 12.307531118392944, 76, 0.7849611281333895, 1108, 59108
244, -166.02428655326366, 11.556466102600098, 71, 0.784176167005256, 1108, 59178
245, 68.20836133824196, 7.192214012145996, 44, 0.7833919908382508, 1108, 59221
246, -198.7284047678113, 17.126195907592773, 105, 0.7826085988474126, 1108, 59325
247, -215.04752608947456, 12.07645320892334, 74, 0.7818259902485653, 1108, 59398
248, 46.23683753609657, 1.3244717121124268, 9, 0.7810441642583167, 1108, 59406
249, -181.9376042485237, 11.058492183685303, 69, 0.7802631200940584, 1108, 59474
250, -141.83482509851456, 9.565221548080444, 60, 0.7794828569739644, 1108, 59533
251, -123.59569455799647, 5.227636098861694, 33, 0.7787033741169904, 1108, 59565
252, -252.17065854463726, 23.087986946105957, 142, 0.7779246707428734, 1108, 59706
253, -117.21409679856151, 7.531541585922241, 47, 0.7771467460721305, 1108, 59752
254, -290.2778522018343, 36.793108224868774, 225, 0.7763695993260584, 1108, 59976
255, -257.3097428199835, 27.42237114906311, 171, 0.7755932297267324, 1108, 60146
256, -145.94711760245264, 19.00212073326111, 119, 0.7748176364970056, 1108, 60264
257, -195.77179710706696, 18.86985945701599, 117, 0.7740428188605086, 1108, 60380
258, -208.46096074581146, 13.560651540756226, 84, 0.7732687760416481, 1108, 60463
260, -175.4894269257784, 13.62665843963623, 85, 0.7717230117583408, 1108, 60547
261, 54.56790594011545, 1.9553930759429932, 13, 0.7709512887465825, 1108, 60559
262, -214.8655928024673, 29.12920045852661, 179, 0.7701803374578359, 1108, 60737
263, -178.65033835731447, 15.809890747070312, 98, 0.7694101571203781, 1108, 60834
264, -156.7556358575821, 6.6633641719818115, 42, 0.7686407469632577, 1108, 60875
265, -137.7193170785904, 5.140132665634155, 32, 0.7678721062162944, 1108, 60906
266, -210.36587370897178, 44.67264366149902, 277, 0.7671042341100781, 1108, 61182
267, 58.195688877254725, 3.748824119567871, 24, 0.766337129875968, 1108, 61205
268, -112.50044977292418, 12.480730295181274, 76, 0.7655707927460921, 1108, 61280
269, -199.65257840929553, 42.779696464538574, 262, 0.764805221953346, 1108, 61541
270, -140.51318982243538, 5.212313652038574, 33, 0.7640404167313927, 1108, 61573
271, -142.49485635757446, 4.50707745552063, 28, 0.7632763763146613, 1108, 61600
272, -191.5610609576106, 9.897770643234253, 61, 0.7625130999383466, 1108, 61660
273, -277.7143250442459, 37.185394048690796, 229, 0.7617505868384082, 1108, 61888
274, 13.173299640417099, 15.00282621383667, 94, 0.7609888362515699, 1108, 61981
